@RELATION ./Datasets/TEMP/classic-rock.arff

@ATTRIBUTE "Acoustic Guitar Prevalence" REAL
@ATTRIBUTE "Amount of Arpeggiation" REAL
@ATTRIBUTE "Amount of Staccato" REAL
@ATTRIBUTE "Average Interval Spanned by Melodic Arcs" REAL
@ATTRIBUTE "Average Length of Melodic Arcs" REAL
@ATTRIBUTE "Average Note Duration" REAL
@ATTRIBUTE "Average Note to Note Change in Dynamics" REAL
@ATTRIBUTE "Average Number of Independent Voices" REAL
@ATTRIBUTE "Average Number of Simultaneous Pitch Classes" REAL
@ATTRIBUTE "Average Number of Simultaneous Pitches" REAL
@ATTRIBUTE "Average Range of Glissandos" REAL
@ATTRIBUTE "Average Rest Fraction Per Voice" REAL
@ATTRIBUTE "Average Time Between Attacks" REAL
@ATTRIBUTE "Average Time Between Attacks for Each Voice" REAL
@ATTRIBUTE "Average Variability of Time Between Attacks for Each Voice" REAL
@ATTRIBUTE "Brass Prevalence" REAL
@ATTRIBUTE "Chord Duration" REAL
@ATTRIBUTE "Chromatic Motion" REAL
@ATTRIBUTE "Combined Strength of Two Strongest Rhythmic Pulses" REAL
@ATTRIBUTE "Complete Rests" REAL
@ATTRIBUTE "Complex Chords" REAL
@ATTRIBUTE "Compound Or Simple Meter" REAL
@ATTRIBUTE "Contrary Motion" REAL
@ATTRIBUTE "Diminished and Augmented Triads" REAL
@ATTRIBUTE "Direction of Melodic Motion" REAL
@ATTRIBUTE "Distance Between Most Prevalent Melodic Intervals" REAL
@ATTRIBUTE "Distance Between Two Most Common Vertical Intervals" REAL
@ATTRIBUTE "Dominant Seventh Chords" REAL
@ATTRIBUTE "Dominant Spread" REAL
@ATTRIBUTE Duration REAL
@ATTRIBUTE "Dynamic Range" REAL
@ATTRIBUTE "Electric Guitar Prevalence" REAL
@ATTRIBUTE "Electric Instrument Prevalence" REAL
@ATTRIBUTE "Glissando Prevalence" REAL
@ATTRIBUTE "Harmonicity of Two Strongest Rhythmic Pulses" REAL
@ATTRIBUTE "Importance of Bass Register" REAL
@ATTRIBUTE "Importance of High Register" REAL
@ATTRIBUTE "Importance of Loudest Voice" REAL
@ATTRIBUTE "Importance of Middle Register" REAL
@ATTRIBUTE "Initial Tempo" REAL
@ATTRIBUTE "Interval Between Most Prevalent Pitch Classes" REAL
@ATTRIBUTE "Interval Between Most Prevalent Pitches" REAL
@ATTRIBUTE "Longest Complete Rest" REAL
@ATTRIBUTE "Major or Minor" REAL
@ATTRIBUTE "Maximum Note Duration" REAL
@ATTRIBUTE "Maximum Number of Independent Voices" REAL
@ATTRIBUTE "Mean Melodic Interval" REAL
@ATTRIBUTE "Mean Pitch" REAL
@ATTRIBUTE "Melodic Embellishments" REAL
@ATTRIBUTE "Melodic Large Intervals" REAL
@ATTRIBUTE "Melodic Octaves" REAL
@ATTRIBUTE "Melodic Perfect Fifths" REAL
@ATTRIBUTE "Melodic Perfect Fourths" REAL
@ATTRIBUTE "Melodic Pitch Variety" REAL
@ATTRIBUTE "Melodic Sevenths" REAL
@ATTRIBUTE "Melodic Sixths" REAL
@ATTRIBUTE "Melodic Thirds" REAL
@ATTRIBUTE "Melodic Tritones" REAL
@ATTRIBUTE "Metrical Diversity" REAL
@ATTRIBUTE "Microtone Prevalence" REAL
@ATTRIBUTE "Minimum Note Duration" REAL
@ATTRIBUTE "Minor Major Melodic Third Ratio" REAL
@ATTRIBUTE "Minor Major Triad Ratio" REAL
@ATTRIBUTE "Most Common Melodic Interval" REAL
@ATTRIBUTE "Most Common Pitch" REAL
@ATTRIBUTE "Most Common Pitch Class" REAL
@ATTRIBUTE "Most Common Vertical Interval" REAL
@ATTRIBUTE "Non-Standard Chords" REAL
@ATTRIBUTE "Note Density" REAL
@ATTRIBUTE "Note Density Variability" REAL
@ATTRIBUTE "Number of Common Melodic Intervals" REAL
@ATTRIBUTE "Number of Common Pitches" REAL
@ATTRIBUTE "Number of Moderate Rhythmic Pulses" REAL
@ATTRIBUTE "Number of Pitched Instruments" REAL
@ATTRIBUTE "Number of Relatively Strong Rhythmic Pulses" REAL
@ATTRIBUTE "Number of Strong Rhythmic Pulses" REAL
@ATTRIBUTE "Number of Unpitched Instruments" REAL
@ATTRIBUTE "Oblique Motion" REAL
@ATTRIBUTE "Orchestral Strings Prevalence" REAL
@ATTRIBUTE "Parallel Fifths" REAL
@ATTRIBUTE "Parallel Motion" REAL
@ATTRIBUTE "Parallel Octaves" REAL
@ATTRIBUTE "Partial Chords" REAL
@ATTRIBUTE "Percussion Instrument Prevalence" REAL
@ATTRIBUTE "Perfect Vertical Intervals" REAL
@ATTRIBUTE "Pitch Class Variety" REAL
@ATTRIBUTE "Pitch Variety" REAL
@ATTRIBUTE Polyrhythms REAL
@ATTRIBUTE "Prevalence Ratio of Two Most Common Vertical Intervals" REAL
@ATTRIBUTE "Prevalence of Most Common Melodic Interval" REAL
@ATTRIBUTE "Prevalence of Most Common Pitch" REAL
@ATTRIBUTE "Prevalence of Most Common Pitch Class" REAL
@ATTRIBUTE "Prevalence of Most Common Vertical Interval" REAL
@ATTRIBUTE "Prevalence of Second Most Common Vertical Interval" REAL
@ATTRIBUTE "Quintuple Meter" REAL
@ATTRIBUTE Range REAL
@ATTRIBUTE "Relative Note Density of Highest Line" REAL
@ATTRIBUTE "Relative Note Durations of Lowest Line" REAL
@ATTRIBUTE "Relative Prevalence of Most Common Melodic Intervals" REAL
@ATTRIBUTE "Relative Prevalence of Top Pitch Classes" REAL
@ATTRIBUTE "Relative Prevalence of Top Pitches" REAL
@ATTRIBUTE "Relative Range Isolation of Loudest Voice" REAL
@ATTRIBUTE "Relative Range of Highest Line" REAL
@ATTRIBUTE "Relative Range of Loudest Voice" REAL
@ATTRIBUTE "Relative Size of Melodic Intervals in Lowest Line" REAL
@ATTRIBUTE "Repeated Notes" REAL
@ATTRIBUTE "Rhythmic Looseness" REAL
@ATTRIBUTE "Rhythmic Variability" REAL
@ATTRIBUTE "Saxophone Prevalence" REAL
@ATTRIBUTE "Second Most Common Vertical Interval" REAL
@ATTRIBUTE "Second Strongest Rhythmic Pulse" REAL
@ATTRIBUTE "Seventh Chords" REAL
@ATTRIBUTE "Similar Motion" REAL
@ATTRIBUTE "Standard Triads" REAL
@ATTRIBUTE "Stepwise Motion" REAL
@ATTRIBUTE "Strength Ratio of Two Strongest Rhythmic Pulses" REAL
@ATTRIBUTE "Strength of Second Strongest Rhythmic Pulse" REAL
@ATTRIBUTE "Strength of Strongest Rhythmic Pulse" REAL
@ATTRIBUTE "String Ensemble Prevalence" REAL
@ATTRIBUTE "String Keyboard Prevalence" REAL
@ATTRIBUTE "Strong Tonal Centres" REAL
@ATTRIBUTE "Strongest Rhythmic Pulse" REAL
@ATTRIBUTE "Triple Meter" REAL
@ATTRIBUTE "Variability Across Voices of Total Rests Per Voice" REAL
@ATTRIBUTE "Variability of Note Durations" REAL
@ATTRIBUTE "Variability of Note Prevalence of Pitched Instruments" REAL
@ATTRIBUTE "Variability of Note Prevalence of Unpitched Instruments" REAL
@ATTRIBUTE "Variability of Number of Independent Voices" REAL
@ATTRIBUTE "Variability of Number of Simultaneous Pitch Classes" REAL
@ATTRIBUTE "Variability of Number of Simultaneous Pitches" REAL
@ATTRIBUTE "Variability of Time Between Attacks" REAL
@ATTRIBUTE "Variability of Voice Separation" REAL
@ATTRIBUTE "Variation of Dynamics" REAL
@ATTRIBUTE "Variation of Dynamics In Each Voice" REAL
@ATTRIBUTE "Vertical Dissonance Ratio" REAL
@ATTRIBUTE "Vertical Major Third Prevalence" REAL
@ATTRIBUTE "Vertical Minor Seconds" REAL
@ATTRIBUTE "Vertical Minor Third Prevalence" REAL
@ATTRIBUTE "Vertical Octaves" REAL
@ATTRIBUTE "Vertical Perfect Fifths" REAL
@ATTRIBUTE "Vertical Perfect Fourths" REAL
@ATTRIBUTE "Vertical Sevenths" REAL
@ATTRIBUTE "Vertical Sixths" REAL
@ATTRIBUTE "Vertical Thirds" REAL
@ATTRIBUTE "Vertical Tritones" REAL
@ATTRIBUTE "Vertical Unisons" REAL
@ATTRIBUTE "Vibrato Prevalence" REAL
@ATTRIBUTE "Violin Prevalence" REAL
@ATTRIBUTE "Voice Equality - Dynamics" REAL
@ATTRIBUTE "Voice Equality - Melodic Leaps" REAL
@ATTRIBUTE "Voice Equality - Note Duration" REAL
@ATTRIBUTE "Voice Equality - Number of Notes" REAL
@ATTRIBUTE "Voice Equality - Range" REAL
@ATTRIBUTE "Voice Overlap" REAL
@ATTRIBUTE "Voice Separation" REAL
@ATTRIBUTE "Woodwinds Prevalence" REAL
@ATTRIBUTE genre {rock, classic}
@ATTRIBUTE title STRING

@DATA
0.0,0.4563,0.04242,9.092,2.119,0.2623,0.5051,7.941,3.179,5.409,0.0,0.5398,0.2204,1.252,3.522,0.2792,0.1795,0.1267,0.2931,0.05302,0.1531,0.0,0.1503,0.06068,0.4236,2.0,3.0,0.0393,3.0,195.4,70.0,0.0,0.0,0.0,2.0,0.1614,0.3561,21.2,0.4826,115.0,5.0,12.0,42.52,0.0,10.0,14.0,3.513,66.85,0.005837,0.01858,0.05848,0.05337,0.1194,3.107,0.02029,0.0208,0.1263,0.01006,1.0,0.0,0.04348,1.323,0.5457,2.0,69.0,9.0,0.0,0.5013,39.53,34.86,4.0,0.0,9.0,13.0,9.0,4.0,3.0,0.4558,0.03347,0.001591,0.1339,0.0757,0.105,0.04008,0.5578,12.0,58.0,0.2222,0.2701,0.2503,0.08054,0.2274,0.3691,0.09971,0.0,60.0,0.1682,0.6708,0.782,0.8324,0.8926,0.0,0.35,0.6,0.2727,0.1957,0.0,0.02526,0.0,3.0,54.0,0.09333,0.2601,0.3003,0.377,1.018,0.1453,0.1478,0.2663,0.0,1.0,108.0,0.0,52.05,0.3644,519.6,131.6,3.253,1.195,1.98,0.237,1.541,15.24,9.287,0.174,0.5984,0.02397,0.7982,0.2396,0.09355,0.09508,0.05661,0.1154,0.1786,0.03048,0.1296,0.0,0.0,9.458,2.664,52.05,298.1,8.631,0.9995,2.714,0.3614,classic,'Bizet Carmen Prelude.mid'
0.0,0.2537,0.04396,7.146,2.016,0.5158,0.002289,1.741,2.612,3.023,0.0,0.1272,0.2868,0.4727,0.7803,0.0,0.3865,0.2051,0.4336,0.0007121,0.0,0.0,0.1692,0.06296,0.4469,1.0,1.0,0.0212,6.0,363.2,5.0,0.0,0.0,0.0,1.48,0.1236,0.0957,5.0,0.7807,58.0,7.0,3.0,363.2,0.0,9.0,2.0,3.401,62.67,0.01648,0.01603,0.01437,0.06025,0.1012,5.23,0.03814,0.0387,0.08624,0.01493,1.0,0.0,0.07812,1.197,0.3901,2.0,67.0,7.0,3.0,0.2869,6.017,3.01,3.0,1.0,13.0,2.0,6.0,3.0,0.0,0.6771,0.0,0.0,0.05242,0.0,0.2686,0.0,0.3659,11.0,39.0,0.5,0.9179,0.3726,0.09844,0.1809,0.1656,0.152,0.0,45.0,0.05952,1.5,0.5504,0.8354,0.8791,0.0,1.0,0.6,1.2,0.05252,0.0,0.03096,0.0,4.0,74.0,0.0628,0.1013,0.3818,0.5777,1.05,0.2115,0.2221,0.0,0.09661,2.0,50.0,0.0,56.57,0.6248,1246.0,0.0,0.438,0.8322,1.027,0.1591,0.0,2.437,0.8581,0.1575,0.3888,0.006176,0.4699,0.1259,0.1323,0.1068,0.05406,0.1805,0.3176,0.0339,0.000799,0.0,0.0,3.536,0.7071,56.57,644.9,12.73,0.8938,8.0,0.0,classic,'Buxethude Buxwv136 Prelude.mid'
0.0,0.3344,0.01399,5.065,1.48,0.4656,0.00184,1.714,2.502,2.978,0.0,0.1449,0.2475,0.433,0.9813,0.0,0.269,0.1848,0.4198,0.007783,0.004054,0.0,0.1245,0.02896,0.4782,1.0,3.0,0.02722,6.0,416.9,5.0,0.0,0.0,0.0,2.0,0.1851,0.1568,4.0,0.6581,74.0,5.0,12.0,236.7,0.0,16.98,2.0,3.26,62.66,0.006625,0.01087,0.02299,0.06647,0.074,4.61,0.01589,0.03261,0.1752,0.009197,1.0,0.0,0.05068,1.775,0.3001,2.0,60.0,0.0,4.0,0.2373,6.531,2.562,3.0,0.0,6.0,2.0,6.0,6.0,0.0,0.732,0.0,0.0,0.02467,0.0,0.3106,0.0,0.4021,12.0,43.0,0.3333,0.8543,0.3583,0.08097,0.1962,0.1686,0.144,0.0,48.0,0.04711,1.614,0.5158,0.8574,0.9773,0.0,1.0,0.6667,1.2,0.04975,0.0,0.03171,0.0,7.0,77.0,0.0669,0.1188,0.3852,0.5431,1.006,0.2093,0.2105,0.0,0.1789,2.0,154.0,0.0,68.59,0.7124,1234.0,0.0,0.452,0.937,1.238,0.1685,0.0,2.486,1.074,0.1446,0.4343,0.005811,0.4072,0.1412,0.144,0.116,0.05393,0.1598,0.3118,0.02331,0.0009045,0.0,0.0,2.828,0.7071,68.59,893.1,11.31,0.8395,5.0,0.0,classic,'Buxethude Buxwv145 Prelude.mid'
0.0,0.3826,0.0004693,7.448,1.827,0.5322,0.002346,1.711,2.491,2.909,0.0,0.1503,0.3132,0.505,0.7719,0.0,0.4818,0.1957,0.4086,0.005619,0.001054,0.0,0.1493,0.07165,0.4182,1.0,3.0,0.03319,4.0,383.7,5.0,0.0,0.0,0.0,1.978,0.1469,0.1553,4.0,0.6978,66.0,5.0,5.0,279.7,0.0,23.16,2.0,3.667,63.35,0.01736,0.02069,0.02908,0.07383,0.09899,5.129,0.03579,0.04362,0.1337,0.0179,1.0,0.0,0.04934,1.173,0.8842,2.0,64.0,9.0,3.0,0.2511,5.564,2.019,4.0,0.0,8.0,2.0,8.0,4.0,0.0,0.6299,0.0,0.0,0.1074,0.0,0.3471,0.0,0.388,12.0,42.0,0.25,0.7989,0.2466,0.08963,0.1764,0.175,0.1398,0.0,45.0,0.061,1.609,0.7937,0.9601,0.9791,0.0,1.0,0.6444,1.333,0.104,0.0,0.02969,0.0,0.0,89.0,0.05242,0.1134,0.3494,0.4424,1.006,0.2037,0.2049,0.0,0.1459,2.0,45.0,0.0,53.74,0.865,1067.0,0.0,0.4535,0.8608,1.122,0.1557,0.0,2.469,1.003,0.1333,0.3209,0.003253,0.467,0.1357,0.1375,0.1107,0.04492,0.1875,0.3069,0.03768,0.004126,0.0,0.0,2.828,1.414,53.74,679.5,11.31,0.9061,6.0,0.0,classic,'Buxethude Buxwv153 Prelude.mid'
0.0,0.4125,0.01685,6.731,1.613,0.5985,0.002161,1.794,2.561,3.176,0.0,0.1168,0.2782,0.4996,0.5719,0.0,0.3141,0.1721,0.4276,0.01677,0.0112,0.0,0.1017,0.04698,0.4887,1.0,3.0,0.05756,6.0,438.7,5.0,0.0,0.0,0.0,1.985,0.2027,0.09248,4.0,0.7048,66.0,7.0,5.0,155.5,0.0,15.05,2.0,3.978,61.19,0.02766,0.01147,0.04063,0.076,0.1109,5.177,0.01386,0.06979,0.2314,0.01625,1.0,0.0,0.09868,1.574,1.267,2.0,62.0,9.0,0.0,0.229,5.283,1.951,4.0,1.0,7.0,2.0,5.0,5.0,0.0,0.8038,0.0,0.0,0.02937,0.0,0.3122,0.0,0.4222,12.0,44.0,0.4,0.9642,0.2094,0.09378,0.191,0.1655,0.1596,0.0,46.0,0.05445,1.512,0.8219,0.9774,0.8894,0.0,1.0,0.6739,1.143,0.04828,0.0,0.03186,0.0,3.0,133.0,0.07623,0.06514,0.3826,0.3815,1.158,0.1982,0.2295,0.0,0.1461,2.0,67.0,0.0,48.79,0.7219,1158.0,0.0,0.4041,0.9317,1.295,0.2113,0.0,2.487,1.017,0.1288,0.3947,0.005553,0.4746,0.1615,0.1466,0.1101,0.05188,0.17,0.2937,0.028,0.004057,0.0,0.0,2.828,0.7071,48.79,650.5,10.61,0.8349,6.0,0.0,classic,'Buxethude Buxwv155 Toccata.mid'
0.0,0.3814,0.0003604,6.443,1.611,0.5684,0.001802,1.778,2.583,3.13,0.0,0.1182,0.2649,0.4829,0.6509,0.0,0.3319,0.1603,0.397,0.005661,0.0002298,0.0,0.0814,0.02321,0.4919,1.0,4.0,0.02838,7.0,502.9,5.0,0.0,0.0,0.0,1.48,0.1236,0.0991,5.0,0.7773,66.0,4.0,4.0,167.0,0.0,56.32,2.0,3.769,63.06,0.02631,0.01973,0.03262,0.05961,0.1208,5.237,0.0149,0.04551,0.2058,0.02014,1.0,0.0,0.05208,1.323,0.5856,2.0,65.0,5.0,0.0,0.2324,5.528,2.27,4.0,1.0,7.0,2.0,6.0,6.0,0.0,0.7928,0.0,0.0,0.03761,0.0,0.3358,0.0,0.4169,12.0,45.0,0.3333,0.9653,0.2614,0.1121,0.1791,0.1554,0.15,0.0,48.0,0.04685,1.652,0.6133,0.8813,0.7942,0.0,1.0,0.7917,1.333,0.0592,0.0,0.03063,0.0,4.0,50.0,0.05723,0.08816,0.3746,0.4217,1.009,0.1976,0.1994,0.0,0.08937,2.0,74.0,0.0,53.03,1.463,1611.0,0.0,0.4156,0.8379,1.115,0.192,0.0,2.41,0.8231,0.1343,0.4191,0.00377,0.4328,0.1544,0.1387,0.1227,0.05199,0.1775,0.2873,0.0237,0.001004,0.0,0.0,3.536,1.414,53.03,874.7,7.071,0.9849,7.0,0.0,classic,'Buxethude Buxwv156 Toccata.mid'
0.0,0.3928,0.02123,7.455,1.883,0.4203,0.04487,6.536,3.699,8.415,0.0,0.1962,0.214,0.5148,1.072,0.0,0.1552,0.1657,0.3425,0.01704,0.3269,0.0,0.07135,0.001498,0.6287,1.0,7.0,0.0352,6.0,245.7,71.0,0.0,0.0,0.0,1.978,0.08818,0.5406,44.43,0.3712,87.0,5.0,7.0,16.55,0.0,10.23,8.0,3.532,75.45,0.02416,0.009444,0.03134,0.09637,0.1208,3.861,0.01245,0.04207,0.1414,0.01159,0.0,0.0,0.007184,1.746,0.3323,2.0,72.0,0.0,0.0,0.4976,23.65,9.822,5.0,0.0,8.0,1.0,8.0,4.0,0.0,0.6369,0.0,0.0008929,0.1647,0.04241,0.09599,0.0,0.5358,11.0,81.0,0.25,0.6915,0.2584,0.05712,0.201,0.2656,0.1836,0.0,103.0,0.1367,2.73,0.6412,0.8515,0.8278,0.0,0.3495,0.3689,1.455,0.1103,0.0,0.02726,0.0,7.0,45.0,0.2184,0.1271,0.188,0.4241,1.008,0.1705,0.172,0.0,1.0,2.0,89.0,0.0,28.16,0.6218,0.0,0.0,2.081,1.332,3.116,0.1479,2.944,15.48,9.966,0.1607,0.7029,0.005791,0.7406,0.226,0.1836,0.08661,0.07291,0.1141,0.2116,0.0124,0.03957,0.0,0.0,17.8,1.035,28.16,395.2,4.773,0.9311,9.0,0.0,classic,'Buxethude Buxwv157 Tocatta and Fugue.mid'
0.0,0.4169,0.003005,7.949,1.952,0.5502,0.002504,1.737,2.722,3.592,0.0,0.1372,0.2807,0.4646,0.7275,0.0,0.303,0.1706,0.4718,0.006744,0.00811,0.0,0.09491,0.006894,0.4249,1.0,7.0,0.05515,7.0,307.7,5.0,0.0,0.0,0.0,2.0,0.1237,0.1853,5.0,0.691,76.0,5.0,5.0,181.7,0.0,13.82,2.0,3.62,64.65,0.02654,0.01706,0.03853,0.08402,0.1004,3.958,0.02969,0.03411,0.132,0.01453,0.0,0.0,0.09868,1.787,0.2675,2.0,65.0,0.0,0.0,0.2024,6.505,2.626,4.0,0.0,6.0,2.0,6.0,6.0,0.0,0.7896,0.0,0.0,0.03164,0.0,0.1934,0.0,0.4681,11.0,37.0,0.3333,0.8935,0.2533,0.08913,0.1978,0.1839,0.1643,0.0,48.0,0.0671,1.635,0.6733,0.9646,0.9831,0.0,1.0,0.5833,1.333,0.1257,0.0,0.03379,0.0,7.0,144.0,0.1239,0.08381,0.4803,0.4239,1.11,0.2236,0.2482,0.0,0.1107,2.0,72.0,0.0,54.45,0.8702,1100.0,0.0,0.4404,0.9612,1.495,0.1723,0.0,2.417,0.8926,0.115,0.5474,0.004213,0.4357,0.1822,0.1643,0.1198,0.04587,0.1488,0.28,0.01472,0.001668,0.0,0.0,3.536,1.414,54.45,673.9,14.14,0.6625,9.0,0.0,classic,'Buxethude Buxwv157 Toccata.mid'
0.0,0.2892,0.0,6.65,1.803,0.5953,0.0,1.737,2.554,3.06,0.0,0.1344,0.3274,0.5227,0.738,0.0,0.365,0.2372,0.4857,0.004305,0.004566,0.0,0.1667,0.0449,0.4189,1.0,3.0,0.03082,6.0,298.7,5.0,0.0,0.0,0.0,2.0,0.1447,0.1331,5.0,0.7222,70.0,2.0,2.0,248.1,0.0,8.357,2.0,3.652,62.94,0.0135,0.02751,0.0342,0.07212,0.0855,5.644,0.02082,0.02454,0.1405,0.01338,1.0,0.0,0.1071,1.148,1.077,2.0,64.0,2.0,3.0,0.2295,5.218,2.686,2.0,0.0,6.0,2.0,6.0,3.0,0.0,0.6744,0.0,0.0004845,0.05329,0.0,0.3965,0.0,0.391,11.0,36.0,0.3333,0.8971,0.3294,0.0836,0.1627,0.1707,0.1531,0.0,43.0,0.0836,1.481,0.7201,0.996,0.9615,0.0,1.0,0.5116,1.333,0.01487,0.0,0.03404,0.0,0.0,148.0,0.05479,0.1056,0.3193,0.5665,1.176,0.2232,0.2625,0.0,0.135,3.0,74.0,0.0,47.38,0.6565,802.6,0.0,0.4401,0.8342,1.11,0.2024,0.0,2.278,0.0,0.1338,0.381,0.006372,0.4853,0.1477,0.1405,0.09733,0.04951,0.1838,0.3072,0.02526,0.00542,0.0,0.0,3.536,1.414,47.38,453.3,14.85,0.7325,7.0,0.0,classic,'Buxethude Buxwv158 Preambulum.mid'
0.0,0.322,0.0,5.518,1.578,0.5247,0.002465,1.855,2.706,3.261,0.0,0.07432,0.2782,0.4158,0.3729,0.0,0.3018,0.1919,0.4071,0.0,0.0,0.0,0.1625,0.06186,0.4522,1.0,1.0,0.02838,4.0,324.6,5.0,0.0,0.0,0.0,1.986,0.1755,0.09517,5.0,0.7293,70.0,4.0,4.0,324.6,0.0,5.143,2.0,3.353,62.21,0.04487,0.006118,0.02725,0.06007,0.1029,5.118,0.01001,0.03782,0.1769,0.02781,0.0,0.0,0.2143,2.212,0.9498,2.0,67.0,11.0,3.0,0.3042,6.259,2.128,4.0,1.0,6.0,2.0,6.0,6.0,0.0,0.6929,0.0,0.0004156,0.05819,0.0,0.2722,0.0,0.3807,12.0,40.0,0.3333,0.9259,0.3126,0.09566,0.1908,0.1552,0.1437,0.0,43.0,0.0641,1.515,0.6139,0.7829,0.9227,0.0,1.0,0.6744,1.2,0.04672,0.0,0.03231,0.0,4.0,139.0,0.05604,0.08645,0.3675,0.5044,1.317,0.1757,0.2314,0.0,0.09665,3.0,70.0,1.0,26.16,0.5177,1157.0,0.0,0.3524,0.7888,1.04,0.1322,0.0,2.456,0.8678,0.1598,0.4513,0.004744,0.46,0.139,0.1323,0.1094,0.05499,0.1827,0.2989,0.03926,0.0,0.0,0.0,3.536,0.7071,26.16,545.9,9.899,0.7776,9.0,0.0,classic,'Buxethude Buxwv160 Ciacona.mid'
