@RELATION ./Datasets/TEMP/classic-rock_swap.arff

@ATTRIBUTE "Acoustic Guitar Prevalence" REAL
@ATTRIBUTE "Amount of Arpeggiation" REAL
@ATTRIBUTE "Amount of Staccato" REAL
@ATTRIBUTE "Average Interval Spanned by Melodic Arcs" REAL
@ATTRIBUTE "Average Length of Melodic Arcs" REAL
@ATTRIBUTE "Average Note Duration" REAL
@ATTRIBUTE "Average Note to Note Change in Dynamics" REAL
@ATTRIBUTE "Average Number of Independent Voices" REAL
@ATTRIBUTE "Average Number of Simultaneous Pitch Classes" REAL
@ATTRIBUTE "Average Number of Simultaneous Pitches" REAL
@ATTRIBUTE "Average Range of Glissandos" REAL
@ATTRIBUTE "Average Rest Fraction Per Voice" REAL
@ATTRIBUTE "Average Time Between Attacks" REAL
@ATTRIBUTE "Average Time Between Attacks for Each Voice" REAL
@ATTRIBUTE "Average Variability of Time Between Attacks for Each Voice" REAL
@ATTRIBUTE "Brass Prevalence" REAL
@ATTRIBUTE "Chord Duration" REAL
@ATTRIBUTE "Chromatic Motion" REAL
@ATTRIBUTE "Combined Strength of Two Strongest Rhythmic Pulses" REAL
@ATTRIBUTE "Complete Rests" REAL
@ATTRIBUTE "Complex Chords" REAL
@ATTRIBUTE "Compound Or Simple Meter" REAL
@ATTRIBUTE "Contrary Motion" REAL
@ATTRIBUTE "Diminished and Augmented Triads" REAL
@ATTRIBUTE "Direction of Melodic Motion" REAL
@ATTRIBUTE "Distance Between Most Prevalent Melodic Intervals" REAL
@ATTRIBUTE "Distance Between Two Most Common Vertical Intervals" REAL
@ATTRIBUTE "Dominant Seventh Chords" REAL
@ATTRIBUTE "Dominant Spread" REAL
@ATTRIBUTE Duration REAL
@ATTRIBUTE "Dynamic Range" REAL
@ATTRIBUTE "Electric Guitar Prevalence" REAL
@ATTRIBUTE "Electric Instrument Prevalence" REAL
@ATTRIBUTE "Glissando Prevalence" REAL
@ATTRIBUTE "Harmonicity of Two Strongest Rhythmic Pulses" REAL
@ATTRIBUTE "Importance of Bass Register" REAL
@ATTRIBUTE "Importance of High Register" REAL
@ATTRIBUTE "Importance of Loudest Voice" REAL
@ATTRIBUTE "Importance of Middle Register" REAL
@ATTRIBUTE "Initial Tempo" REAL
@ATTRIBUTE "Interval Between Most Prevalent Pitch Classes" REAL
@ATTRIBUTE "Interval Between Most Prevalent Pitches" REAL
@ATTRIBUTE "Longest Complete Rest" REAL
@ATTRIBUTE "Major or Minor" REAL
@ATTRIBUTE "Maximum Note Duration" REAL
@ATTRIBUTE "Maximum Number of Independent Voices" REAL
@ATTRIBUTE "Mean Melodic Interval" REAL
@ATTRIBUTE "Mean Pitch" REAL
@ATTRIBUTE "Melodic Embellishments" REAL
@ATTRIBUTE "Melodic Large Intervals" REAL
@ATTRIBUTE "Melodic Octaves" REAL
@ATTRIBUTE "Melodic Perfect Fifths" REAL
@ATTRIBUTE "Melodic Perfect Fourths" REAL
@ATTRIBUTE "Melodic Pitch Variety" REAL
@ATTRIBUTE "Melodic Sevenths" REAL
@ATTRIBUTE "Melodic Sixths" REAL
@ATTRIBUTE "Melodic Thirds" REAL
@ATTRIBUTE "Melodic Tritones" REAL
@ATTRIBUTE "Metrical Diversity" REAL
@ATTRIBUTE "Microtone Prevalence" REAL
@ATTRIBUTE "Minimum Note Duration" REAL
@ATTRIBUTE "Minor Major Melodic Third Ratio" REAL
@ATTRIBUTE "Minor Major Triad Ratio" REAL
@ATTRIBUTE "Most Common Melodic Interval" REAL
@ATTRIBUTE "Most Common Pitch" REAL
@ATTRIBUTE "Most Common Pitch Class" REAL
@ATTRIBUTE "Most Common Vertical Interval" REAL
@ATTRIBUTE "Non-Standard Chords" REAL
@ATTRIBUTE "Note Density" REAL
@ATTRIBUTE "Note Density Variability" REAL
@ATTRIBUTE "Number of Common Melodic Intervals" REAL
@ATTRIBUTE "Number of Common Pitches" REAL
@ATTRIBUTE "Number of Moderate Rhythmic Pulses" REAL
@ATTRIBUTE "Number of Pitched Instruments" REAL
@ATTRIBUTE "Number of Relatively Strong Rhythmic Pulses" REAL
@ATTRIBUTE "Number of Strong Rhythmic Pulses" REAL
@ATTRIBUTE "Number of Unpitched Instruments" REAL
@ATTRIBUTE "Oblique Motion" REAL
@ATTRIBUTE "Orchestral Strings Prevalence" REAL
@ATTRIBUTE "Parallel Fifths" REAL
@ATTRIBUTE "Parallel Motion" REAL
@ATTRIBUTE "Parallel Octaves" REAL
@ATTRIBUTE "Partial Chords" REAL
@ATTRIBUTE "Percussion Instrument Prevalence" REAL
@ATTRIBUTE "Perfect Vertical Intervals" REAL
@ATTRIBUTE "Pitch Class Variety" REAL
@ATTRIBUTE "Pitch Variety" REAL
@ATTRIBUTE Polyrhythms REAL
@ATTRIBUTE "Prevalence Ratio of Two Most Common Vertical Intervals" REAL
@ATTRIBUTE "Prevalence of Most Common Melodic Interval" REAL
@ATTRIBUTE "Prevalence of Most Common Pitch" REAL
@ATTRIBUTE "Prevalence of Most Common Pitch Class" REAL
@ATTRIBUTE "Prevalence of Most Common Vertical Interval" REAL
@ATTRIBUTE "Prevalence of Second Most Common Vertical Interval" REAL
@ATTRIBUTE "Quintuple Meter" REAL
@ATTRIBUTE Range REAL
@ATTRIBUTE "Relative Note Density of Highest Line" REAL
@ATTRIBUTE "Relative Note Durations of Lowest Line" REAL
@ATTRIBUTE "Relative Prevalence of Most Common Melodic Intervals" REAL
@ATTRIBUTE "Relative Prevalence of Top Pitch Classes" REAL
@ATTRIBUTE "Relative Prevalence of Top Pitches" REAL
@ATTRIBUTE "Relative Range Isolation of Loudest Voice" REAL
@ATTRIBUTE "Relative Range of Highest Line" REAL
@ATTRIBUTE "Relative Range of Loudest Voice" REAL
@ATTRIBUTE "Relative Size of Melodic Intervals in Lowest Line" REAL
@ATTRIBUTE "Repeated Notes" REAL
@ATTRIBUTE "Rhythmic Looseness" REAL
@ATTRIBUTE "Rhythmic Variability" REAL
@ATTRIBUTE "Saxophone Prevalence" REAL
@ATTRIBUTE "Second Most Common Vertical Interval" REAL
@ATTRIBUTE "Second Strongest Rhythmic Pulse" REAL
@ATTRIBUTE "Seventh Chords" REAL
@ATTRIBUTE "Similar Motion" REAL
@ATTRIBUTE "Standard Triads" REAL
@ATTRIBUTE "Stepwise Motion" REAL
@ATTRIBUTE "Strength Ratio of Two Strongest Rhythmic Pulses" REAL
@ATTRIBUTE "Strength of Second Strongest Rhythmic Pulse" REAL
@ATTRIBUTE "Strength of Strongest Rhythmic Pulse" REAL
@ATTRIBUTE "String Ensemble Prevalence" REAL
@ATTRIBUTE "String Keyboard Prevalence" REAL
@ATTRIBUTE "Strong Tonal Centres" REAL
@ATTRIBUTE "Strongest Rhythmic Pulse" REAL
@ATTRIBUTE "Triple Meter" REAL
@ATTRIBUTE "Variability Across Voices of Total Rests Per Voice" REAL
@ATTRIBUTE "Variability of Note Durations" REAL
@ATTRIBUTE "Variability of Note Prevalence of Pitched Instruments" REAL
@ATTRIBUTE "Variability of Note Prevalence of Unpitched Instruments" REAL
@ATTRIBUTE "Variability of Number of Independent Voices" REAL
@ATTRIBUTE "Variability of Number of Simultaneous Pitch Classes" REAL
@ATTRIBUTE "Variability of Number of Simultaneous Pitches" REAL
@ATTRIBUTE "Variability of Time Between Attacks" REAL
@ATTRIBUTE "Variability of Voice Separation" REAL
@ATTRIBUTE "Variation of Dynamics" REAL
@ATTRIBUTE "Variation of Dynamics In Each Voice" REAL
@ATTRIBUTE "Vertical Dissonance Ratio" REAL
@ATTRIBUTE "Vertical Major Third Prevalence" REAL
@ATTRIBUTE "Vertical Minor Seconds" REAL
@ATTRIBUTE "Vertical Minor Third Prevalence" REAL
@ATTRIBUTE "Vertical Octaves" REAL
@ATTRIBUTE "Vertical Perfect Fifths" REAL
@ATTRIBUTE "Vertical Perfect Fourths" REAL
@ATTRIBUTE "Vertical Sevenths" REAL
@ATTRIBUTE "Vertical Sixths" REAL
@ATTRIBUTE "Vertical Thirds" REAL
@ATTRIBUTE "Vertical Tritones" REAL
@ATTRIBUTE "Vertical Unisons" REAL
@ATTRIBUTE "Vibrato Prevalence" REAL
@ATTRIBUTE "Violin Prevalence" REAL
@ATTRIBUTE "Voice Equality - Dynamics" REAL
@ATTRIBUTE "Voice Equality - Melodic Leaps" REAL
@ATTRIBUTE "Voice Equality - Note Duration" REAL
@ATTRIBUTE "Voice Equality - Number of Notes" REAL
@ATTRIBUTE "Voice Equality - Range" REAL
@ATTRIBUTE "Voice Overlap" REAL
@ATTRIBUTE "Voice Separation" REAL
@ATTRIBUTE "Woodwinds Prevalence" REAL
@ATTRIBUTE genre {rock, classic}
@ATTRIBUTE title STRING

@DATA
0.0,0.3375,0.0,6.129,1.78,0.4548,0.0,4.449,3.209,3.957,0.0,0.4493,0.2335,1.292,3.104,0.0,0.2437,0.1864,0.4485,0.006154,0.03331,0.0,0.1499,0.04282,0.49,1.0,3.0,0.0793,7.0,263.5,0.0,0.0,0.0,0.0,2.0,0.2198,0.1772,0.0,0.603,74.0,5.0,5.0,58.38,0.0,13.78,8.0,3.31,63.04,0.001561,0.003915,0.03171,0.05717,0.08575,5.658,0.0141,0.03641,0.1887,0.01644,0.0,0.0,0.1014,2.07,0.2,2.0,70.0,5.0,0.0,0.3918,9.741,3.658,3.0,0.0,6.0,1.0,6.0,6.0,0.0,0.6818,0.0,0.0003486,0.023,0.0006971,0.1423,0.0,0.4323,11.0,41.0,0.3333,0.7093,0.3352,0.07806,0.1721,0.182,0.1291,0.0,48.0,0.2279,0.8953,0.5561,0.8776,0.975,0.0,0.2917,0.2917,0.7619,0.04424,0.0,0.03302,0.0,3.0,148.0,0.1709,0.1453,0.295,0.5215,1.038,0.22,0.2285,0.0,1.0,2.0,74.0,1.0,77.22,0.4711,0.0,0.0,1.601,0.8198,1.046,0.1115,3.039,0.0,0.0,0.2137,0.4002,0.01976,0.5909,0.121,0.1217,0.1286,0.06241,0.1615,0.2301,0.03806,0.06099,0.0,0.0,0.0,0.5175,77.22,306.0,6.01,0.9407,3.286,0.0,classic,009801b_.mid
0.0,0.2714,0.0,5.639,2.139,0.522,0.0,4.0,3.303,3.991,0.0,0.06668,0.3612,0.5223,0.1909,0.0,0.3784,0.2156,0.6536,0.05002,0.0,0.0,0.243,0.01754,0.4719,1.0,4.0,0.0614,6.0,37.5,0.0,0.0,0.0,0.0,2.0,0.2381,0.04396,0.0,0.7179,96.0,5.0,5.0,37.5,0.0,1.25,4.0,2.327,59.85,0.0,0.0,0.01487,0.05204,0.08178,5.203,0.0,0.01115,0.0632,0.0,0.0,0.0,0.1562,0.7,0.2478,2.0,62.0,2.0,7.0,0.25,7.378,1.934,3.0,3.0,6.0,1.0,4.0,4.0,0.0,0.5358,0.0,0.0,0.04772,0.0,0.0,0.0,0.4297,9.0,23.0,0.75,0.8195,0.4201,0.1099,0.1941,0.1947,0.1596,0.0,33.0,1.026,0.975,0.5133,0.9057,0.9,0.5536,0.4242,0.4242,1.143,0.1413,0.0,0.03987,0.0,3.0,48.0,0.1316,0.1735,0.6184,0.6357,1.024,0.3229,0.3306,0.0,1.0,2.0,96.0,0.0,0.0,0.2237,0.0,0.0,0.0,0.4594,0.09325,0.1446,2.646,0.0,0.0,0.1215,0.6447,0.004392,0.7061,0.1149,0.1947,0.1186,0.03734,0.1669,0.295,0.0205,0.001464,0.0,0.0,0.0,0.9574,0.0,11.95,1.633,0.674,7.0,0.0,classic,009906b_.mid
0.0,0.2845,0.03595,8.015,1.924,0.3428,0.0,4.898,3.608,4.932,0.0,0.3967,0.2071,0.7629,1.331,0.0,0.2209,0.21,0.4043,0.003165,0.1386,0.0,0.1146,0.01442,0.5495,1.0,7.0,0.09615,6.0,124.7,0.0,0.0,0.0,0.0,2.0,0.1232,0.2177,0.0,0.659,76.0,5.0,4.0,92.37,0.0,5.526,8.0,3.928,66.09,0.02431,0.0466,0.03893,0.0625,0.1173,5.079,0.03673,0.01974,0.06798,0.006031,0.0,0.0,0.0,2.758,0.1772,2.0,67.0,7.0,0.0,0.3998,23.56,7.451,3.0,4.0,6.0,1.0,6.0,6.0,0.0,0.5961,0.0,0.002096,0.04123,0.009783,0.05849,0.0,0.4947,11.0,36.0,0.3333,0.5245,0.33,0.1232,0.2116,0.2499,0.1311,0.0,50.0,0.1945,1.469,0.6362,0.8754,0.9056,0.0,0.48,0.28,0.7273,0.06414,0.0,0.03188,0.0,7.0,76.0,0.2436,0.2481,0.2981,0.54,1.007,0.2015,0.2028,0.0,1.0,2.0,152.0,0.0,33.5,0.287,0.0,0.0,2.04,0.8946,1.447,0.05347,2.545,0.0,0.0,0.1827,0.6873,0.0185,0.7532,0.123,0.1311,0.1137,0.0603,0.1321,0.2187,0.02397,0.1269,0.0,0.0,0.0,1.282,33.5,348.1,7.8,0.9955,3.143,0.0,classic,010006b_.mid
0.0,0.276,0.0,4.784,1.892,0.5852,0.0,6.0,3.245,4.01,0.0,0.07692,0.4657,0.5721,0.1316,0.0,0.4855,0.237,0.8303,0.05769,0.02041,0.0,0.2833,0.05102,0.4829,1.0,7.0,0.08163,6.0,32.5,0.0,0.0,0.0,0.0,2.0,0.1561,0.03503,0.0,0.8089,96.0,7.0,5.0,32.5,1.0,1.562,6.0,2.256,60.47,0.0,0.0,0.003247,0.03896,0.07468,4.441,0.0,0.02273,0.08766,0.01299,0.0,0.0,0.3125,0.6875,0.6829,2.0,62.0,9.0,0.0,0.1429,9.812,2.673,3.0,2.0,4.0,1.0,2.0,2.0,0.0,0.4034,0.0,0.004292,0.07725,0.0,0.0102,0.0,0.5156,11.0,33.0,1.0,0.5781,0.3766,0.1401,0.1975,0.268,0.155,0.0,36.0,1.318,1.006,0.6293,0.9677,0.6818,0.4,0.4167,0.4167,1.091,0.1461,0.0,0.04697,0.0,7.0,48.0,0.1429,0.2361,0.7041,0.6136,1.032,0.4086,0.4217,0.0,1.0,2.0,96.0,0.0,0.0,0.1628,0.0,0.0,0.0,0.4961,0.4164,0.1575,3.633,0.0,0.0,0.07022,0.6939,0.007445,0.7347,0.09167,0.155,0.0926,0.02141,0.1591,0.2597,0.0228,0.1764,0.0,0.0,0.0,0.7528,0.0,1.633,2.137,0.879,3.8,0.0,classic,010107b_.mid
0.0,0.2656,0.0,4.718,1.859,0.5637,0.0,6.0,3.311,4.087,0.0,0.07692,0.3911,0.5516,0.1418,0.0,0.4307,0.2406,0.7507,0.05769,0.03571,0.0,0.2679,0.05102,0.4765,1.0,7.0,0.08163,6.0,32.5,0.0,0.0,0.0,0.0,2.0,0.1687,0.03374,0.0,0.7975,96.0,7.0,5.0,32.5,1.0,1.25,6.0,2.291,60.14,0.0,0.0,0.00625,0.03438,0.06875,4.657,0.0,0.02812,0.09062,0.009375,0.0,0.0,0.1562,0.7059,0.6667,2.0,62.0,9.0,0.0,0.1888,10.19,2.889,3.0,2.0,4.0,1.0,4.0,4.0,0.0,0.433,0.0,0.004464,0.07589,0.0,0.0,0.0,0.5031,11.0,33.0,0.75,0.6109,0.3875,0.135,0.1933,0.2576,0.1574,0.0,36.0,1.27,0.9879,0.621,0.9841,0.7045,0.4118,0.4167,0.4167,0.6,0.1344,0.0,0.04345,0.0,7.0,48.0,0.148,0.2232,0.6633,0.6281,1.035,0.3688,0.3819,0.0,1.0,2.0,96.0,0.0,0.0,0.1733,0.0,0.0,0.0,0.5346,0.4712,0.157,3.114,0.0,0.0,0.08568,0.7041,0.009635,0.7143,0.09039,0.1574,0.08809,0.02524,0.1588,0.2592,0.02455,0.1672,0.0,0.0,0.0,0.8165,0.0,3.077,2.137,0.8773,3.8,0.0,classic,010107bv.mid
0.0,0.2277,0.0,5.175,2.052,0.496,0.0,4.0,3.173,3.827,0.0,0.06667,0.3813,0.4851,0.1326,0.0,0.3976,0.2857,0.7347,0.05769,0.0,0.0,0.3191,0.102,0.4472,1.0,4.0,0.08163,6.0,30.0,0.0,0.0,0.0,0.0,2.0,0.1974,0.01754,0.0,0.7851,104.0,7.0,3.0,30.0,1.0,1.154,4.0,2.344,59.28,0.0,0.0,0.01786,0.03125,0.06696,4.779,0.008929,0.01786,0.05804,0.008929,0.0,0.0,0.2885,0.4444,0.75,2.0,60.0,0.0,3.0,0.1939,7.862,1.663,3.0,1.0,4.0,1.0,4.0,4.0,0.0,0.4008,0.0,0.0,0.07004,0.0,0.02041,0.0,0.4037,11.0,27.0,0.5,0.9948,0.3929,0.1228,0.1886,0.1681,0.1673,0.0,32.0,1.175,1.036,0.7273,1.0,0.7143,0.4074,0.4688,0.4688,0.5714,0.1116,0.0,0.04322,0.0,7.0,52.0,0.1429,0.2101,0.6429,0.6786,1.018,0.364,0.3707,0.0,1.0,2.0,104.0,0.0,0.0,0.1602,0.0,0.0,0.0,0.4292,0.3787,0.136,0.5774,0.0,0.0,0.08762,0.6939,0.001751,0.7449,0.1121,0.1673,0.09457,0.02627,0.1856,0.3301,0.03678,0.02977,0.0,0.0,0.0,0.9574,0.0,3.559,2.217,0.8202,5.333,0.0,classic,010207b_.mid
0.0,0.2368,0.0,5.014,1.993,0.5,0.0,4.0,3.165,3.869,0.0,0.05884,0.3541,0.4948,0.1847,0.0,0.3687,0.2555,0.6332,0.04413,0.0,0.0,0.204,0.03077,0.5055,1.0,7.0,0.05,6.0,42.5,0.0,0.0,0.0,0.0,2.0,0.1815,0.1138,0.0,0.7046,96.0,5.0,7.0,42.5,1.0,1.25,4.0,2.221,61.41,0.0,0.0,0.01246,0.04673,0.09657,4.77,0.0,0.006231,0.03427,0.006231,0.0,0.0,0.1562,1.2,0.6768,2.0,66.0,6.0,7.0,0.25,7.738,1.695,4.0,1.0,4.0,1.0,4.0,4.0,0.0,0.5455,0.0,0.004435,0.07317,0.002217,0.01538,0.0,0.4476,10.0,25.0,0.75,0.8134,0.3988,0.1108,0.1692,0.1756,0.1429,0.0,31.0,0.8738,1.003,0.6406,1.0,0.75,0.5362,0.3226,0.3226,0.6667,0.1433,0.0,0.04004,0.0,0.0,48.0,0.09615,0.1774,0.6385,0.6542,1.026,0.3126,0.3206,0.0,1.0,1.0,96.0,0.0,0.0,0.2062,0.0,0.0,0.0,0.4109,0.3372,0.1191,0.5774,0.0,0.0,0.1106,0.5923,0.001311,0.6077,0.1206,0.1756,0.1291,0.04456,0.1835,0.2693,0.01966,0.02228,0.0,0.0,0.0,1.0,0.0,8.732,1.633,0.7631,6.333,0.0,classic,010306b_.mid
0.0,0.2464,0.0,4.82,1.943,0.5089,0.0,4.0,3.206,3.93,0.0,0.06668,0.3612,0.5004,0.1894,0.0,0.3866,0.2428,0.6584,0.05002,0.0,0.0,0.257,0.0307,0.481,1.0,4.0,0.07018,6.0,37.5,0.0,0.0,0.0,0.0,2.0,0.2321,0.125,0.0,0.6429,96.0,5.0,9.0,37.5,0.0,1.875,4.0,2.181,61.07,0.0,0.0,0.01449,0.05435,0.06884,4.844,0.0,0.003623,0.03623,0.0,0.0,0.0,0.1562,0.6667,0.2393,2.0,64.0,4.0,7.0,0.1711,7.568,1.674,3.0,1.0,4.0,1.0,4.0,4.0,0.0,0.4809,0.0,0.0,0.07634,0.002545,0.03509,0.0,0.4053,10.0,23.0,0.75,0.9755,0.4384,0.1357,0.1929,0.1509,0.1472,0.0,32.0,1.014,0.9091,0.5537,0.9074,0.5789,0.8125,0.3125,0.3125,0.5714,0.1413,0.0,0.04028,0.0,3.0,48.0,0.1579,0.1858,0.636,0.6812,1.013,0.327,0.3314,0.0,1.0,2.0,96.0,0.0,0.0,0.2177,0.0,0.0,0.0,0.4836,0.2554,0.1391,2.646,0.0,0.0,0.09562,0.6667,0.008876,0.6579,0.1235,0.1509,0.1191,0.02515,0.2138,0.2936,0.02515,0.01183,0.0,0.0,0.0,0.9574,0.0,6.055,2.986,0.6286,7.0,0.0,classic,010406b_.mid
0.0,0.2464,0.0,4.82,1.943,0.5089,0.0,4.0,3.206,3.93,0.0,0.06668,0.3612,0.5004,0.1894,0.0,0.3866,0.2428,0.6584,0.05002,0.0,0.0,0.257,0.0307,0.481,1.0,4.0,0.07018,6.0,37.5,0.0,0.0,0.0,0.0,2.0,0.275,0.01071,0.0,0.7143,96.0,5.0,9.0,37.5,0.0,1.875,4.0,2.181,59.07,0.0,0.0,0.01449,0.05435,0.06884,4.844,0.0,0.003623,0.03623,0.0,0.0,0.0,0.1562,0.6667,0.2393,2.0,62.0,2.0,7.0,0.1711,7.568,1.674,3.0,1.0,4.0,1.0,4.0,4.0,0.0,0.4809,0.0,0.0,0.07634,0.002545,0.03509,0.0,0.4053,10.0,23.0,0.75,0.9755,0.4384,0.1357,0.1929,0.1509,0.1472,0.0,32.0,0.9857,0.9091,0.5537,0.9074,0.5789,0.8125,0.3125,0.3125,0.5714,0.1413,0.0,0.04028,0.0,3.0,48.0,0.1579,0.1858,0.636,0.6812,1.013,0.327,0.3314,0.0,1.0,2.0,96.0,0.0,0.0,0.2177,0.0,0.0,0.0,0.4836,0.2554,0.1391,2.646,0.0,0.0,0.09562,0.6667,0.008876,0.6579,0.1235,0.1509,0.1191,0.02515,0.2138,0.2936,0.02515,0.01183,0.0,0.0,0.0,0.9574,0.0,6.055,2.986,0.6286,7.0,0.0,classic,010406bv.mid
0.0,0.583,0.0,5.934,2.003,0.4625,0.0,6.521,3.419,5.044,0.0,0.1953,0.2907,0.6805,0.5501,0.0,0.5789,0.1545,0.4297,0.0,0.05122,0.0,0.1908,0.1476,0.4836,2.0,3.0,0.09896,4.0,80.0,0.0,0.0,0.0,0.0,2.0,0.1454,0.2713,0.0,0.5833,72.0,5.0,7.0,80.0,1.0,5.0,8.0,1.57,65.8,0.0,0.0008929,0.01339,0.03929,0.05268,3.27,0.0008929,0.01071,0.04821,0.01071,0.0,0.0,0.2083,1.348,0.5362,0.0,74.0,2.0,0.0,0.4462,14.28,7.473,3.0,1.0,10.0,1.0,3.0,3.0,0.0,0.6011,0.0,0.0,0.06107,0.01336,0.03125,0.0,0.4791,12.0,43.0,0.6667,0.5759,0.4813,0.09397,0.1968,0.2438,0.1404,0.0,50.0,0.539,1.291,0.3896,0.9189,0.9151,0.0,0.38,0.2,0.6667,0.4813,0.0,0.02962,0.0,3.0,144.0,0.1545,0.1469,0.3681,0.342,1.553,0.1683,0.2614,0.0,1.0,2.0,72.0,0.0,12.12,0.3827,0.0,0.0,2.268,0.6913,1.541,0.1322,3.185,0.0,0.0,0.1432,0.6858,0.008835,0.8542,0.1546,0.13,0.1052,0.04487,0.1434,0.2522,0.03485,0.0892,0.0,0.0,0.0,1.195,12.12,83.53,4.502,0.9858,3.857,0.0,classic,010506b_.mid
