@RELATION ./Datasets/TEMP/jazz-rock_swap.arff

@ATTRIBUTE "Acoustic Guitar Prevalence" REAL
@ATTRIBUTE "Amount of Arpeggiation" REAL
@ATTRIBUTE "Amount of Staccato" REAL
@ATTRIBUTE "Average Interval Spanned by Melodic Arcs" REAL
@ATTRIBUTE "Average Length of Melodic Arcs" REAL
@ATTRIBUTE "Average Note Duration" REAL
@ATTRIBUTE "Average Note to Note Change in Dynamics" REAL
@ATTRIBUTE "Average Number of Independent Voices" REAL
@ATTRIBUTE "Average Number of Simultaneous Pitch Classes" REAL
@ATTRIBUTE "Average Number of Simultaneous Pitches" REAL
@ATTRIBUTE "Average Range of Glissandos" REAL
@ATTRIBUTE "Average Rest Fraction Per Voice" REAL
@ATTRIBUTE "Average Time Between Attacks" REAL
@ATTRIBUTE "Average Time Between Attacks for Each Voice" REAL
@ATTRIBUTE "Average Variability of Time Between Attacks for Each Voice" REAL
@ATTRIBUTE "Brass Prevalence" REAL
@ATTRIBUTE "Chord Duration" REAL
@ATTRIBUTE "Chromatic Motion" REAL
@ATTRIBUTE "Combined Strength of Two Strongest Rhythmic Pulses" REAL
@ATTRIBUTE "Complete Rests" REAL
@ATTRIBUTE "Complex Chords" REAL
@ATTRIBUTE "Compound Or Simple Meter" REAL
@ATTRIBUTE "Contrary Motion" REAL
@ATTRIBUTE "Diminished and Augmented Triads" REAL
@ATTRIBUTE "Direction of Melodic Motion" REAL
@ATTRIBUTE "Distance Between Most Prevalent Melodic Intervals" REAL
@ATTRIBUTE "Distance Between Two Most Common Vertical Intervals" REAL
@ATTRIBUTE "Dominant Seventh Chords" REAL
@ATTRIBUTE "Dominant Spread" REAL
@ATTRIBUTE Duration REAL
@ATTRIBUTE "Dynamic Range" REAL
@ATTRIBUTE "Electric Guitar Prevalence" REAL
@ATTRIBUTE "Electric Instrument Prevalence" REAL
@ATTRIBUTE "Glissando Prevalence" REAL
@ATTRIBUTE "Harmonicity of Two Strongest Rhythmic Pulses" REAL
@ATTRIBUTE "Importance of Bass Register" REAL
@ATTRIBUTE "Importance of High Register" REAL
@ATTRIBUTE "Importance of Loudest Voice" REAL
@ATTRIBUTE "Importance of Middle Register" REAL
@ATTRIBUTE "Initial Tempo" REAL
@ATTRIBUTE "Interval Between Most Prevalent Pitch Classes" REAL
@ATTRIBUTE "Interval Between Most Prevalent Pitches" REAL
@ATTRIBUTE "Longest Complete Rest" REAL
@ATTRIBUTE "Major or Minor" REAL
@ATTRIBUTE "Maximum Note Duration" REAL
@ATTRIBUTE "Maximum Number of Independent Voices" REAL
@ATTRIBUTE "Mean Melodic Interval" REAL
@ATTRIBUTE "Mean Pitch" REAL
@ATTRIBUTE "Melodic Embellishments" REAL
@ATTRIBUTE "Melodic Large Intervals" REAL
@ATTRIBUTE "Melodic Octaves" REAL
@ATTRIBUTE "Melodic Perfect Fifths" REAL
@ATTRIBUTE "Melodic Perfect Fourths" REAL
@ATTRIBUTE "Melodic Pitch Variety" REAL
@ATTRIBUTE "Melodic Sevenths" REAL
@ATTRIBUTE "Melodic Sixths" REAL
@ATTRIBUTE "Melodic Thirds" REAL
@ATTRIBUTE "Melodic Tritones" REAL
@ATTRIBUTE "Metrical Diversity" REAL
@ATTRIBUTE "Microtone Prevalence" REAL
@ATTRIBUTE "Minimum Note Duration" REAL
@ATTRIBUTE "Minor Major Melodic Third Ratio" REAL
@ATTRIBUTE "Minor Major Triad Ratio" REAL
@ATTRIBUTE "Most Common Melodic Interval" REAL
@ATTRIBUTE "Most Common Pitch" REAL
@ATTRIBUTE "Most Common Pitch Class" REAL
@ATTRIBUTE "Most Common Vertical Interval" REAL
@ATTRIBUTE "Non-Standard Chords" REAL
@ATTRIBUTE "Note Density" REAL
@ATTRIBUTE "Note Density Variability" REAL
@ATTRIBUTE "Number of Common Melodic Intervals" REAL
@ATTRIBUTE "Number of Common Pitches" REAL
@ATTRIBUTE "Number of Moderate Rhythmic Pulses" REAL
@ATTRIBUTE "Number of Pitched Instruments" REAL
@ATTRIBUTE "Number of Relatively Strong Rhythmic Pulses" REAL
@ATTRIBUTE "Number of Strong Rhythmic Pulses" REAL
@ATTRIBUTE "Number of Unpitched Instruments" REAL
@ATTRIBUTE "Oblique Motion" REAL
@ATTRIBUTE "Orchestral Strings Prevalence" REAL
@ATTRIBUTE "Parallel Fifths" REAL
@ATTRIBUTE "Parallel Motion" REAL
@ATTRIBUTE "Parallel Octaves" REAL
@ATTRIBUTE "Partial Chords" REAL
@ATTRIBUTE "Percussion Instrument Prevalence" REAL
@ATTRIBUTE "Perfect Vertical Intervals" REAL
@ATTRIBUTE "Pitch Class Variety" REAL
@ATTRIBUTE "Pitch Variety" REAL
@ATTRIBUTE Polyrhythms REAL
@ATTRIBUTE "Prevalence Ratio of Two Most Common Vertical Intervals" REAL
@ATTRIBUTE "Prevalence of Most Common Melodic Interval" REAL
@ATTRIBUTE "Prevalence of Most Common Pitch" REAL
@ATTRIBUTE "Prevalence of Most Common Pitch Class" REAL
@ATTRIBUTE "Prevalence of Most Common Vertical Interval" REAL
@ATTRIBUTE "Prevalence of Second Most Common Vertical Interval" REAL
@ATTRIBUTE "Quintuple Meter" REAL
@ATTRIBUTE Range REAL
@ATTRIBUTE "Relative Note Density of Highest Line" REAL
@ATTRIBUTE "Relative Note Durations of Lowest Line" REAL
@ATTRIBUTE "Relative Prevalence of Most Common Melodic Intervals" REAL
@ATTRIBUTE "Relative Prevalence of Top Pitch Classes" REAL
@ATTRIBUTE "Relative Prevalence of Top Pitches" REAL
@ATTRIBUTE "Relative Range Isolation of Loudest Voice" REAL
@ATTRIBUTE "Relative Range of Highest Line" REAL
@ATTRIBUTE "Relative Range of Loudest Voice" REAL
@ATTRIBUTE "Relative Size of Melodic Intervals in Lowest Line" REAL
@ATTRIBUTE "Repeated Notes" REAL
@ATTRIBUTE "Rhythmic Looseness" REAL
@ATTRIBUTE "Rhythmic Variability" REAL
@ATTRIBUTE "Saxophone Prevalence" REAL
@ATTRIBUTE "Second Most Common Vertical Interval" REAL
@ATTRIBUTE "Second Strongest Rhythmic Pulse" REAL
@ATTRIBUTE "Seventh Chords" REAL
@ATTRIBUTE "Similar Motion" REAL
@ATTRIBUTE "Standard Triads" REAL
@ATTRIBUTE "Stepwise Motion" REAL
@ATTRIBUTE "Strength Ratio of Two Strongest Rhythmic Pulses" REAL
@ATTRIBUTE "Strength of Second Strongest Rhythmic Pulse" REAL
@ATTRIBUTE "Strength of Strongest Rhythmic Pulse" REAL
@ATTRIBUTE "String Ensemble Prevalence" REAL
@ATTRIBUTE "String Keyboard Prevalence" REAL
@ATTRIBUTE "Strong Tonal Centres" REAL
@ATTRIBUTE "Strongest Rhythmic Pulse" REAL
@ATTRIBUTE "Triple Meter" REAL
@ATTRIBUTE "Variability Across Voices of Total Rests Per Voice" REAL
@ATTRIBUTE "Variability of Note Durations" REAL
@ATTRIBUTE "Variability of Note Prevalence of Pitched Instruments" REAL
@ATTRIBUTE "Variability of Note Prevalence of Unpitched Instruments" REAL
@ATTRIBUTE "Variability of Number of Independent Voices" REAL
@ATTRIBUTE "Variability of Number of Simultaneous Pitch Classes" REAL
@ATTRIBUTE "Variability of Number of Simultaneous Pitches" REAL
@ATTRIBUTE "Variability of Time Between Attacks" REAL
@ATTRIBUTE "Variability of Voice Separation" REAL
@ATTRIBUTE "Variation of Dynamics" REAL
@ATTRIBUTE "Variation of Dynamics In Each Voice" REAL
@ATTRIBUTE "Vertical Dissonance Ratio" REAL
@ATTRIBUTE "Vertical Major Third Prevalence" REAL
@ATTRIBUTE "Vertical Minor Seconds" REAL
@ATTRIBUTE "Vertical Minor Third Prevalence" REAL
@ATTRIBUTE "Vertical Octaves" REAL
@ATTRIBUTE "Vertical Perfect Fifths" REAL
@ATTRIBUTE "Vertical Perfect Fourths" REAL
@ATTRIBUTE "Vertical Sevenths" REAL
@ATTRIBUTE "Vertical Sixths" REAL
@ATTRIBUTE "Vertical Thirds" REAL
@ATTRIBUTE "Vertical Tritones" REAL
@ATTRIBUTE "Vertical Unisons" REAL
@ATTRIBUTE "Vibrato Prevalence" REAL
@ATTRIBUTE "Violin Prevalence" REAL
@ATTRIBUTE "Voice Equality - Dynamics" REAL
@ATTRIBUTE "Voice Equality - Melodic Leaps" REAL
@ATTRIBUTE "Voice Equality - Note Duration" REAL
@ATTRIBUTE "Voice Equality - Number of Notes" REAL
@ATTRIBUTE "Voice Equality - Range" REAL
@ATTRIBUTE "Voice Overlap" REAL
@ATTRIBUTE "Voice Separation" REAL
@ATTRIBUTE "Woodwinds Prevalence" REAL
@ATTRIBUTE genre {jazz, rock}
@ATTRIBUTE title STRING

@DATA
0.0,0.5064,0.6727,14.3,1.637,0.1303,21.08,2.266,2.933,3.582,0.0,0.4406,0.04527,0.2576,0.183,0.0,0.04704,0.06185,0.1415,0.01379,0.2844,0.0,0.07275,0.009846,0.4849,2.0,2.0,0.01379,5.0,321.3,120.0,0.0,0.04932,0.0,1.125,0.2434,0.1625,25.67,0.5941,180.0,2.0,7.0,36.03,0.0,2.561,4.0,8.481,60.59,0.0154,0.1824,0.08452,0.1116,0.1124,5.595,0.06752,0.06456,0.1804,0.03006,0.0,0.0,0.0,1.159,0.8652,5.0,63.0,8.0,7.0,0.5971,34.8,5.479,3.0,0.0,9.0,3.0,8.0,0.0,28.0,0.5895,0.0,0.005197,0.03357,0.006601,0.2822,0.5748,0.371,12.0,73.0,0.25,0.9062,0.1124,0.08674,0.1571,0.1319,0.1196,0.0,76.0,0.04358,4.554,0.9934,0.9786,0.9951,0.0,0.5,0.5,1.688,0.02982,0.75,0.01253,0.0,5.0,45.0,0.07804,0.3042,0.04258,0.1368,1.019,0.0701,0.07144,0.0,0.3574,2.0,40.0,0.0,118.5,0.1854,2093.0,445.2,0.7739,1.617,2.136,0.05722,12.02,22.42,16.25,0.4417,0.4424,0.02362,0.3913,0.1119,0.1319,0.1196,0.1458,0.1158,0.2069,0.03489,0.00756,0.0,0.0,16.6,3.512,118.5,2962.0,23.44,0.9933,14.5,0.0,jazz,Manteca_Dizzy-Gillespie_dm.mid
0.0,0.5533,0.2466,7.61,1.544,0.2318,3.894,3.852,3.037,4.255,5.48,0.6303,0.07178,0.9361,3.831,0.301,0.03861,0.06928,0.2373,0.03569,0.1949,0.0,0.05253,0.01233,0.4545,1.0,3.0,0.1886,5.0,254.2,44.0,0.0,0.08337,0.005141,1.5,0.2285,0.0804,14.11,0.6911,240.0,2.0,2.0,69.61,0.0,4.339,9.0,4.448,58.34,0.01257,0.01349,0.01349,0.08063,0.04997,3.187,0.03955,0.1609,0.313,0.01257,0.0,0.0004113,0.0,2.066,0.3435,3.0,64.0,2.0,0.0,0.3021,24.74,5.534,5.0,2.0,13.0,8.0,5.0,2.0,13.0,0.5495,0.0,0.007017,0.05874,0.009623,0.2558,0.2263,0.4411,12.0,53.0,0.4,0.6211,0.2109,0.1112,0.1771,0.2394,0.1487,0.0,100.0,0.1333,2.33,0.6904,0.9535,0.9778,0.0,0.22,0.13,0.2647,0.1015,0.8,0.01643,0.03771,3.0,63.0,0.3506,0.3392,0.09155,0.2149,1.362,0.1005,0.1368,0.0,0.3893,2.0,42.0,0.0,87.21,0.3529,785.0,133.0,1.397,1.49,2.475,0.1034,4.0,10.37,2.119,0.2309,0.4795,0.01024,0.5907,0.134,0.1098,0.09183,0.06248,0.1431,0.2283,0.05001,0.1054,0.0,0.0,10.01,1.986,87.21,608.2,18.06,0.9997,4.0,0.0,jazz,just_a_gigolo_rlm.mid
0.2592,0.49,0.4423,13.07,1.579,0.3345,10.24,5.766,4.506,8.602,0.0,0.4345,0.04771,0.6548,1.51,0.07585,0.06942,0.06617,0.1541,0.015,0.5302,0.0,0.06074,0.0034,0.4906,1.0,3.0,0.02934,3.0,181.6,118.0,0.06694,0.2389,0.0,1.333,0.2537,0.1498,24.56,0.5965,180.0,3.0,3.0,82.71,0.0,8.503,10.0,7.847,59.76,0.007293,0.2308,0.03149,0.09102,0.09422,3.93,0.05166,0.04059,0.1446,0.08389,0.0,0.0,0.0,2.607,1.246,3.0,65.0,5.0,0.0,0.7067,34.09,8.006,4.0,1.0,12.0,8.0,4.0,0.0,6.0,0.4598,0.0,0.005831,0.08434,0.01581,0.03983,0.1605,0.3928,12.0,66.0,0.75,0.673,0.1046,0.09421,0.1793,0.2019,0.1359,0.0,67.0,0.1373,1.549,0.9012,0.7449,0.7213,0.0,0.3134,0.3881,1.4,0.07134,1.75,0.01119,0.0,3.0,60.0,0.2422,0.3951,0.01131,0.1604,1.465,0.06253,0.09159,0.04214,0.3102,2.0,45.0,0.0,38.42,0.4511,490.0,247.3,1.957,1.151,2.609,0.0775,5.127,18.11,10.29,0.3262,0.8173,0.02438,0.9212,0.1556,0.1052,0.08568,0.0857,0.1408,0.2204,0.06187,0.0463,0.0,0.0,15.44,3.64,38.42,485.8,8.852,0.9807,5.0,0.0,jazz,just_friends_lg.mid
0.0,0.3347,0.2722,7.158,1.613,0.2933,5.742,5.116,3.235,4.205,42.0,0.7081,0.05293,1.31,3.182,0.4855,0.06496,0.3465,0.1484,0.1029,0.3511,0.0,0.06833,0.02503,0.5041,1.0,4.0,0.01204,2.0,165.7,102.0,0.0,0.0,0.001242,1.5,0.3582,0.04099,23.67,0.6008,126.0,10.0,2.0,8.884,0.0,3.772,16.0,3.962,54.92,0.01947,0.05101,0.0527,0.0274,0.05017,4.09,0.03078,0.03415,0.09992,0.03162,0.0,0.0004141,0.0009921,1.257,2.19,1.0,60.0,0.0,0.0,0.6098,20.24,10.88,3.0,1.0,10.0,8.0,6.0,0.0,11.0,0.5438,0.0,0.004881,0.08498,0.01522,0.3021,0.2767,0.3579,12.0,60.0,0.3333,0.624,0.3465,0.09896,0.1611,0.2001,0.1249,0.0,84.0,0.4472,1.158,0.4611,0.8303,0.8033,0.0,0.09524,0.2024,2.206,0.1159,2.167,0.01292,0.2797,4.0,63.0,0.02878,0.3029,0.05931,0.5063,1.15,0.06904,0.07939,0.0,0.1378,2.0,42.0,0.0,31.46,0.435,152.0,119.5,3.415,1.71,2.356,0.1031,2.902,17.09,9.398,0.453,0.5365,0.03005,0.4069,0.1036,0.08195,0.07587,0.102,0.1352,0.1951,0.07178,0.09647,0.0,0.0,10.58,2.374,31.46,232.6,18.51,0.9973,2.5,0.0,jazz,just_in_time_gw.mid
0.0,0.4266,0.3613,15.14,2.81,0.2089,11.15,3.732,4.377,6.117,19.49,0.6435,0.11,0.4035,2.184,0.3866,0.1277,0.1616,0.1819,0.04255,0.6071,0.0,0.09458,0.007956,0.6674,1.0,3.0,0.07401,2.0,144.4,103.0,0.0,0.0,0.03465,1.983,0.242,0.2074,9.667,0.5506,120.0,5.0,5.0,52.14,0.0,4.958,7.0,5.352,62.26,0.004985,0.06646,0.03736,0.07732,0.08688,4.979,0.05778,0.0934,0.1929,0.05908,0.0,0.00693,0.01042,1.301,0.4148,1.0,66.0,1.0,0.0,0.7911,34.83,16.45,3.0,0.0,18.0,15.0,10.0,0.0,12.0,0.3935,0.0,0.01788,0.2442,0.03426,0.05938,0.2231,0.3468,12.0,63.0,0.2,0.6593,0.1616,0.04209,0.1027,0.1676,0.1105,0.0,72.0,0.1733,2.095,0.7473,0.95,0.9695,0.009615,0.625,0.625,0.6279,0.04648,0.2,0.01676,0.187,3.0,119.0,0.1392,0.2678,0.01032,0.2824,1.018,0.09014,0.09174,0.0,0.08156,3.0,60.0,0.0,28.53,0.2817,193.5,91.32,1.46,1.517,2.397,0.08078,4.121,23.28,20.45,0.4361,0.7406,0.03231,0.7728,0.1238,0.09118,0.08803,0.108,0.1451,0.2044,0.0742,0.04377,0.0,0.0,7.15,1.302,28.53,264.6,11.66,0.9994,3.875,0.1031,jazz,just_jazz-org_aw2.mid
0.0,0.4132,0.5952,11.14,1.769,0.2189,11.52,6.898,4.752,6.882,12.0,0.6032,0.02702,0.7415,2.234,0.374,0.04064,0.2702,0.139,0.09502,0.7401,0.0,0.06812,0.002375,0.4502,1.0,7.0,0.001479,5.0,144.8,91.0,0.0,0.0,0.001039,1.235,0.4006,0.07093,12.33,0.5284,252.0,4.0,7.0,8.797,0.0,3.771,16.0,5.713,54.7,0.07622,0.1202,0.08655,0.03176,0.06167,5.773,0.03203,0.03547,0.135,0.02435,0.0,0.0,0.000496,1.383,0.8474,1.0,62.0,9.0,0.0,0.8913,41.82,15.38,3.0,0.0,15.0,7.0,9.0,0.0,13.0,0.4837,0.0,0.007452,0.132,0.01423,0.04865,0.3608,0.3613,12.0,70.0,0.2222,0.7215,0.2702,0.05664,0.139,0.1512,0.1091,0.0,70.0,0.2923,0.6143,0.3918,0.9121,0.844,0.0,0.3714,0.3714,4.024,0.09688,0.5556,0.01254,0.1925,7.0,63.0,0.04807,0.3162,0.01197,0.3761,1.657,0.05232,0.08669,0.0,0.1269,2.0,51.0,0.0,24.43,0.3228,211.1,247.9,4.563,1.796,2.955,0.05344,2.248,13.97,13.4,0.4342,0.7934,0.02383,0.7896,0.09355,0.1091,0.1009,0.1245,0.1372,0.1987,0.04953,0.0577,0.0,0.0,4.457,3.195,24.43,528.7,10.73,0.9347,2.857,0.0,jazz,just_one_of_those_things_gw.mid
0.0,0.5177,0.5463,13.35,1.615,0.3237,17.08,2.741,3.128,4.632,42.31,0.5517,0.06498,0.9194,3.546,0.02981,0.1005,0.07633,0.134,0.01716,0.1166,0.0,0.05403,0.001639,0.4993,1.0,7.0,0.08621,3.0,242.0,122.0,0.0,0.0,0.02152,1.225,0.3063,0.1883,21.4,0.5054,97.0,8.0,12.0,76.85,0.0,6.679,6.0,7.781,60.39,0.03542,0.1974,0.06567,0.0968,0.04094,6.772,0.03326,0.04136,0.2264,0.01578,0.0,0.003725,0.007653,1.107,4.738,2.0,56.0,0.0,0.0,0.3225,18.43,10.28,4.0,0.0,13.0,5.0,7.0,0.0,17.0,0.5492,0.0,0.007949,0.04843,0.01281,0.2072,0.4584,0.4595,12.0,56.0,0.4286,0.7411,0.142,0.07864,0.2074,0.2233,0.1655,0.0,74.0,0.1366,2.556,0.8378,0.9561,0.9421,0.9122,0.8378,0.1622,0.3333,0.06397,3.0,0.01027,0.02981,7.0,40.0,0.2454,0.3483,0.2248,0.2183,1.256,0.0594,0.07461,0.05671,0.3602,2.0,49.0,0.0,85.36,0.4798,637.6,148.4,1.055,1.176,2.091,0.09461,9.747,21.13,12.04,0.2132,0.6542,0.01081,0.6453,0.1655,0.1655,0.07072,0.09437,0.09702,0.2677,0.02495,0.0578,0.0004139,0.0,13.61,3.808,85.36,855.4,19.47,0.9603,7.5,0.0,jazz,just_the_two_of_us_esh.mid
0.0,0.6685,0.6649,17.25,2.285,0.1219,8.027,2.797,2.424,3.457,0.0,0.4993,0.09017,0.2884,0.8145,0.02572,0.06068,0.02995,0.2502,0.1217,0.0439,0.0,0.07129,0.007657,0.4794,2.0,7.0,0.002425,3.0,192.1,108.0,0.0,0.0,0.0,1.489,0.4284,0.1871,21.75,0.3845,120.0,7.0,12.0,3.798,0.0,3.429,4.0,4.655,58.3,0.02631,0.09869,0.02151,0.09321,0.03205,2.546,0.01771,0.03796,0.143,0.002109,0.0,0.0,0.01429,2.324,0.509,0.0,48.0,0.0,0.0,0.2556,35.23,7.819,4.0,1.0,8.0,3.0,8.0,3.0,8.0,0.5955,0.0,0.002287,0.04156,0.01372,0.4159,0.3744,0.5522,12.0,46.0,0.25,0.712,0.3851,0.1219,0.3485,0.241,0.1716,0.0,55.0,0.06427,1.755,0.3604,0.4847,0.6434,0.0,0.3091,0.3091,0.0,0.3851,0.0,0.02081,0.02572,7.0,70.0,0.113,0.2917,0.2155,0.1687,1.04,0.1226,0.1276,0.0,0.4686,2.0,47.0,0.0,40.55,0.1363,1565.0,469.0,1.036,1.074,1.72,0.06226,5.859,11.18,11.23,0.1184,0.1975,0.009188,0.3837,0.2266,0.1716,0.1396,0.0584,0.1745,0.1674,0.01035,0.01441,0.0,0.0,11.99,3.202,40.55,1239.0,14.93,0.7688,9.333,0.0,jazz,kansas_city_mw.mid
0.0,0.8535,0.6278,9.031,1.901,0.1957,8.196,2.738,3.162,3.732,0.0,0.6764,0.09289,0.7816,2.875,0.0,0.04473,0.01215,0.2035,0.05677,0.2585,0.0,0.07198,0.0119,0.4574,2.0,4.0,0.001719,3.0,306.4,108.0,0.0259,0.2003,0.0,1.119,0.5198,0.1326,33.86,0.3475,94.0,2.0,10.0,13.59,0.0,2.617,6.0,1.18,59.36,0.004709,0.005955,0.01977,0.01167,0.03383,3.348,0.01667,0.008576,0.05002,0.0004764,0.0,0.0,0.005319,2.134,1.252,0.0,54.0,6.0,7.0,0.4717,22.21,6.019,1.0,2.0,8.0,6.0,8.0,1.0,4.0,0.4687,0.0,0.00674,0.03178,0.002648,0.2252,0.3508,0.383,12.0,38.0,0.25,0.8721,0.7537,0.3494,0.3634,0.1647,0.1436,0.0,48.0,0.1285,1.479,0.1157,0.6095,0.3692,0.0,0.1458,0.0,2.154,0.7537,0.0,0.01957,0.0,3.0,47.0,0.2267,0.4275,0.07641,0.09933,1.109,0.09648,0.107,0.0,0.458,2.0,42.0,0.0,67.3,0.3408,930.6,678.2,1.208,1.478,1.911,0.06755,4.355,21.05,9.054,0.3423,0.5527,0.02577,0.5672,0.09079,0.1647,0.1108,0.1163,0.1205,0.2414,0.01556,0.01673,0.0,0.0,29.84,1.676,67.3,1022.0,10.53,0.9164,5.833,0.0,jazz,keep_looking_jk.mid
0.0,0.336,0.8165,7.438,1.858,0.1728,0.01839,3.063,2.319,2.625,0.0,0.6077,0.1219,0.4112,0.8632,0.0,0.1625,0.1084,0.195,0.3472,0.0,0.0,0.0,0.0,0.5294,3.0,5.0,0.0,3.0,107.9,38.0,0.0,0.1876,0.0,1.488,0.3619,0.08768,9.6,0.5505,122.0,7.0,2.0,2.919,0.0,2.01,6.0,3.723,55.69,0.02942,0.01882,0.0,0.1237,0.2016,3.812,0.01613,0.0224,0.1039,0.007168,0.0,0.0,0.05081,2.222,0.0,2.0,67.0,0.0,0.0,0.9596,25.41,10.83,4.0,2.0,10.0,3.0,10.0,0.0,14.0,0.245,0.0,0.08,0.695,0.0,0.04044,0.4715,0.6904,12.0,56.0,0.4,0.3956,0.3136,0.1079,0.1775,0.3893,0.154,0.0,60.0,0.2331,0.9575,0.6429,0.9529,0.8452,0.0,0.6,0.6,1.176,0.08423,0.0,0.02178,0.0,5.0,61.0,0.0,0.06,0.0,0.422,1.032,0.09597,0.09904,0.0,0.07098,2.0,41.0,0.0,14.45,0.3057,271.8,139.5,1.462,1.139,1.26,0.07836,13.2,7.518,0.5168,0.2735,0.06172,0.007633,0.119,0.07801,0.1471,0.154,0.05213,0.03574,0.05905,0.01224,0.3113,0.0,0.0,9.209,0.5477,14.45,411.8,1.095,1.0,7.25,0.0,jazz,kicker_cb.mid
