@RELATION ./Datasets/TEMP/jazz-rock.arff

@ATTRIBUTE "Acoustic Guitar Prevalence" REAL
@ATTRIBUTE "Amount of Arpeggiation" REAL
@ATTRIBUTE "Amount of Staccato" REAL
@ATTRIBUTE "Average Interval Spanned by Melodic Arcs" REAL
@ATTRIBUTE "Average Length of Melodic Arcs" REAL
@ATTRIBUTE "Average Note Duration" REAL
@ATTRIBUTE "Average Note to Note Change in Dynamics" REAL
@ATTRIBUTE "Average Number of Independent Voices" REAL
@ATTRIBUTE "Average Number of Simultaneous Pitch Classes" REAL
@ATTRIBUTE "Average Number of Simultaneous Pitches" REAL
@ATTRIBUTE "Average Range of Glissandos" REAL
@ATTRIBUTE "Average Rest Fraction Per Voice" REAL
@ATTRIBUTE "Average Time Between Attacks" REAL
@ATTRIBUTE "Average Time Between Attacks for Each Voice" REAL
@ATTRIBUTE "Average Variability of Time Between Attacks for Each Voice" REAL
@ATTRIBUTE "Brass Prevalence" REAL
@ATTRIBUTE "Chord Duration" REAL
@ATTRIBUTE "Chromatic Motion" REAL
@ATTRIBUTE "Combined Strength of Two Strongest Rhythmic Pulses" REAL
@ATTRIBUTE "Complete Rests" REAL
@ATTRIBUTE "Complex Chords" REAL
@ATTRIBUTE "Compound Or Simple Meter" REAL
@ATTRIBUTE "Contrary Motion" REAL
@ATTRIBUTE "Diminished and Augmented Triads" REAL
@ATTRIBUTE "Direction of Melodic Motion" REAL
@ATTRIBUTE "Distance Between Most Prevalent Melodic Intervals" REAL
@ATTRIBUTE "Distance Between Two Most Common Vertical Intervals" REAL
@ATTRIBUTE "Dominant Seventh Chords" REAL
@ATTRIBUTE "Dominant Spread" REAL
@ATTRIBUTE Duration REAL
@ATTRIBUTE "Dynamic Range" REAL
@ATTRIBUTE "Electric Guitar Prevalence" REAL
@ATTRIBUTE "Electric Instrument Prevalence" REAL
@ATTRIBUTE "Glissando Prevalence" REAL
@ATTRIBUTE "Harmonicity of Two Strongest Rhythmic Pulses" REAL
@ATTRIBUTE "Importance of Bass Register" REAL
@ATTRIBUTE "Importance of High Register" REAL
@ATTRIBUTE "Importance of Loudest Voice" REAL
@ATTRIBUTE "Importance of Middle Register" REAL
@ATTRIBUTE "Initial Tempo" REAL
@ATTRIBUTE "Interval Between Most Prevalent Pitch Classes" REAL
@ATTRIBUTE "Interval Between Most Prevalent Pitches" REAL
@ATTRIBUTE "Longest Complete Rest" REAL
@ATTRIBUTE "Major or Minor" REAL
@ATTRIBUTE "Maximum Note Duration" REAL
@ATTRIBUTE "Maximum Number of Independent Voices" REAL
@ATTRIBUTE "Mean Melodic Interval" REAL
@ATTRIBUTE "Mean Pitch" REAL
@ATTRIBUTE "Melodic Embellishments" REAL
@ATTRIBUTE "Melodic Large Intervals" REAL
@ATTRIBUTE "Melodic Octaves" REAL
@ATTRIBUTE "Melodic Perfect Fifths" REAL
@ATTRIBUTE "Melodic Perfect Fourths" REAL
@ATTRIBUTE "Melodic Pitch Variety" REAL
@ATTRIBUTE "Melodic Sevenths" REAL
@ATTRIBUTE "Melodic Sixths" REAL
@ATTRIBUTE "Melodic Thirds" REAL
@ATTRIBUTE "Melodic Tritones" REAL
@ATTRIBUTE "Metrical Diversity" REAL
@ATTRIBUTE "Microtone Prevalence" REAL
@ATTRIBUTE "Minimum Note Duration" REAL
@ATTRIBUTE "Minor Major Melodic Third Ratio" REAL
@ATTRIBUTE "Minor Major Triad Ratio" REAL
@ATTRIBUTE "Most Common Melodic Interval" REAL
@ATTRIBUTE "Most Common Pitch" REAL
@ATTRIBUTE "Most Common Pitch Class" REAL
@ATTRIBUTE "Most Common Vertical Interval" REAL
@ATTRIBUTE "Non-Standard Chords" REAL
@ATTRIBUTE "Note Density" REAL
@ATTRIBUTE "Note Density Variability" REAL
@ATTRIBUTE "Number of Common Melodic Intervals" REAL
@ATTRIBUTE "Number of Common Pitches" REAL
@ATTRIBUTE "Number of Moderate Rhythmic Pulses" REAL
@ATTRIBUTE "Number of Pitched Instruments" REAL
@ATTRIBUTE "Number of Relatively Strong Rhythmic Pulses" REAL
@ATTRIBUTE "Number of Strong Rhythmic Pulses" REAL
@ATTRIBUTE "Number of Unpitched Instruments" REAL
@ATTRIBUTE "Oblique Motion" REAL
@ATTRIBUTE "Orchestral Strings Prevalence" REAL
@ATTRIBUTE "Parallel Fifths" REAL
@ATTRIBUTE "Parallel Motion" REAL
@ATTRIBUTE "Parallel Octaves" REAL
@ATTRIBUTE "Partial Chords" REAL
@ATTRIBUTE "Percussion Instrument Prevalence" REAL
@ATTRIBUTE "Perfect Vertical Intervals" REAL
@ATTRIBUTE "Pitch Class Variety" REAL
@ATTRIBUTE "Pitch Variety" REAL
@ATTRIBUTE Polyrhythms REAL
@ATTRIBUTE "Prevalence Ratio of Two Most Common Vertical Intervals" REAL
@ATTRIBUTE "Prevalence of Most Common Melodic Interval" REAL
@ATTRIBUTE "Prevalence of Most Common Pitch" REAL
@ATTRIBUTE "Prevalence of Most Common Pitch Class" REAL
@ATTRIBUTE "Prevalence of Most Common Vertical Interval" REAL
@ATTRIBUTE "Prevalence of Second Most Common Vertical Interval" REAL
@ATTRIBUTE "Quintuple Meter" REAL
@ATTRIBUTE Range REAL
@ATTRIBUTE "Relative Note Density of Highest Line" REAL
@ATTRIBUTE "Relative Note Durations of Lowest Line" REAL
@ATTRIBUTE "Relative Prevalence of Most Common Melodic Intervals" REAL
@ATTRIBUTE "Relative Prevalence of Top Pitch Classes" REAL
@ATTRIBUTE "Relative Prevalence of Top Pitches" REAL
@ATTRIBUTE "Relative Range Isolation of Loudest Voice" REAL
@ATTRIBUTE "Relative Range of Highest Line" REAL
@ATTRIBUTE "Relative Range of Loudest Voice" REAL
@ATTRIBUTE "Relative Size of Melodic Intervals in Lowest Line" REAL
@ATTRIBUTE "Repeated Notes" REAL
@ATTRIBUTE "Rhythmic Looseness" REAL
@ATTRIBUTE "Rhythmic Variability" REAL
@ATTRIBUTE "Saxophone Prevalence" REAL
@ATTRIBUTE "Second Most Common Vertical Interval" REAL
@ATTRIBUTE "Second Strongest Rhythmic Pulse" REAL
@ATTRIBUTE "Seventh Chords" REAL
@ATTRIBUTE "Similar Motion" REAL
@ATTRIBUTE "Standard Triads" REAL
@ATTRIBUTE "Stepwise Motion" REAL
@ATTRIBUTE "Strength Ratio of Two Strongest Rhythmic Pulses" REAL
@ATTRIBUTE "Strength of Second Strongest Rhythmic Pulse" REAL
@ATTRIBUTE "Strength of Strongest Rhythmic Pulse" REAL
@ATTRIBUTE "String Ensemble Prevalence" REAL
@ATTRIBUTE "String Keyboard Prevalence" REAL
@ATTRIBUTE "Strong Tonal Centres" REAL
@ATTRIBUTE "Strongest Rhythmic Pulse" REAL
@ATTRIBUTE "Triple Meter" REAL
@ATTRIBUTE "Variability Across Voices of Total Rests Per Voice" REAL
@ATTRIBUTE "Variability of Note Durations" REAL
@ATTRIBUTE "Variability of Note Prevalence of Pitched Instruments" REAL
@ATTRIBUTE "Variability of Note Prevalence of Unpitched Instruments" REAL
@ATTRIBUTE "Variability of Number of Independent Voices" REAL
@ATTRIBUTE "Variability of Number of Simultaneous Pitch Classes" REAL
@ATTRIBUTE "Variability of Number of Simultaneous Pitches" REAL
@ATTRIBUTE "Variability of Time Between Attacks" REAL
@ATTRIBUTE "Variability of Voice Separation" REAL
@ATTRIBUTE "Variation of Dynamics" REAL
@ATTRIBUTE "Variation of Dynamics In Each Voice" REAL
@ATTRIBUTE "Vertical Dissonance Ratio" REAL
@ATTRIBUTE "Vertical Major Third Prevalence" REAL
@ATTRIBUTE "Vertical Minor Seconds" REAL
@ATTRIBUTE "Vertical Minor Third Prevalence" REAL
@ATTRIBUTE "Vertical Octaves" REAL
@ATTRIBUTE "Vertical Perfect Fifths" REAL
@ATTRIBUTE "Vertical Perfect Fourths" REAL
@ATTRIBUTE "Vertical Sevenths" REAL
@ATTRIBUTE "Vertical Sixths" REAL
@ATTRIBUTE "Vertical Thirds" REAL
@ATTRIBUTE "Vertical Tritones" REAL
@ATTRIBUTE "Vertical Unisons" REAL
@ATTRIBUTE "Vibrato Prevalence" REAL
@ATTRIBUTE "Violin Prevalence" REAL
@ATTRIBUTE "Voice Equality - Dynamics" REAL
@ATTRIBUTE "Voice Equality - Melodic Leaps" REAL
@ATTRIBUTE "Voice Equality - Note Duration" REAL
@ATTRIBUTE "Voice Equality - Number of Notes" REAL
@ATTRIBUTE "Voice Equality - Range" REAL
@ATTRIBUTE "Voice Overlap" REAL
@ATTRIBUTE "Voice Separation" REAL
@ATTRIBUTE "Woodwinds Prevalence" REAL
@ATTRIBUTE genre {jazz, rock}
@ATTRIBUTE title STRING

@DATA
0.2189,0.4778,0.05893,12.07,1.563,0.378,9.777,4.451,3.431,4.833,0.0,0.5629,0.08309,0.6746,1.007,0.04,0.09579,0.09698,0.2897,0.01315,0.1746,0.0,0.08643,0.04195,0.5987,1.0,4.0,0.1155,5.0,213.0,127.0,0.0,0.0848,0.0,2.0,0.3583,0.09119,47.11,0.5505,80.0,4.0,2.0,78.08,0.0,5.95,7.0,7.453,57.35,0.03627,0.173,0.04626,0.08674,0.06984,4.635,0.06762,0.07162,0.157,0.07473,0.0,0.0,0.05,0.9396,0.9061,2.0,55.0,7.0,0.0,0.5412,17.61,3.018,2.0,0.0,8.0,8.0,2.0,2.0,10.0,0.5541,0.0,0.001101,0.03165,0.006606,0.175,0.2981,0.3884,12.0,57.0,1.0,0.564,0.1161,0.06649,0.1546,0.2077,0.1171,0.0,63.0,0.2462,3.238,0.8352,0.9803,0.9143,0.0,0.1587,0.2222,1.184,0.04004,1.5,0.01919,0.0,4.0,80.0,0.1797,0.3278,0.104,0.2131,1.823,0.1026,0.1871,0.01973,0.3589,2.0,40.0,0.0,60.41,0.5326,383.4,181.8,1.285,1.141,1.962,0.09186,5.392,23.34,8.232,0.3439,0.6165,0.02661,0.5653,0.1392,0.1035,0.07724,0.09691,0.1379,0.2178,0.07275,0.06845,0.0,0.0,33.84,4.086,60.41,408.1,12.1,0.9672,4.25,0.0,jazz,a_cottage_for_sale_rs.mid
0.09756,0.504,0.008431,14.95,2.076,0.3891,8.528,3.903,4.128,7.491,0.0,0.359,0.1149,0.7787,0.8552,0.0,0.1207,0.04356,0.2212,0.03099,0.3626,0.0,0.07364,0.002133,0.446,5.0,3.0,0.03803,4.0,130.0,89.0,0.0,0.3348,0.0,1.5,0.27,0.06779,45.2,0.6622,120.0,5.0,2.0,130.0,0.0,3.983,6.0,6.28,57.86,0.028,0.1297,0.03465,0.1,0.1446,4.213,0.0505,0.06337,0.1475,0.04554,0.0,0.0,0.008333,1.292,11.11,5.0,62.0,9.0,0.0,0.5779,25.55,7.197,4.0,2.0,16.0,4.0,5.0,2.0,15.0,0.5583,0.0,0.004819,0.05075,0.007078,0.02673,0.4625,0.4098,12.0,57.0,0.4,0.7672,0.1446,0.1008,0.1894,0.2,0.1534,0.0,70.0,0.2409,1.779,0.9589,0.8639,0.9611,0.0,0.3143,0.5286,0.0,0.1386,0.8,0.01681,0.0,3.0,40.0,0.1846,0.3173,0.2107,0.1455,1.029,0.109,0.1122,0.0277,0.3348,2.0,60.0,0.0,31.96,0.4835,454.4,101.0,1.166,1.046,2.011,0.1049,13.0,23.27,5.707,0.257,0.8919,0.02477,0.916,0.1576,0.1259,0.08386,0.0805,0.1363,0.2495,0.05039,0.04232,0.0,0.0,25.16,2.28,31.96,518.6,10.7,0.9476,12.75,0.0,jazz,a_day_in_the_life_of_a_fool_jhall.mid
0.1955,0.4311,0.5011,17.85,1.756,0.3539,8.233,4.054,4.496,7.411,0.0,0.3367,0.08206,0.386,0.3025,0.01548,0.1263,0.09602,0.241,0.01474,0.4615,0.0,0.0728,0.001268,0.4395,5.0,3.0,0.04857,6.0,198.0,81.0,0.0,0.0,0.0,2.0,0.3992,0.1977,30.8,0.403,160.0,2.0,7.0,145.9,0.0,3.0,6.0,8.724,59.22,0.05002,0.2008,0.03605,0.09146,0.1013,4.791,0.04858,0.05996,0.09677,0.04516,0.0,0.0,0.001563,1.161,1.414,0.0,59.0,6.0,0.0,0.6829,26.76,5.945,4.0,0.0,12.0,5.0,4.0,3.0,7.0,0.5037,0.0,0.005039,0.05069,0.005861,0.006466,0.2544,0.3795,12.0,63.0,0.75,0.7148,0.1435,0.07165,0.1557,0.1824,0.1304,0.0,69.0,0.08861,2.172,0.7063,0.9626,0.9187,0.0,0.8261,0.2464,0.0,0.1435,0.25,0.01737,0.0,3.0,80.0,0.3095,0.3729,0.001123,0.1765,1.315,0.1041,0.1369,0.175,0.272,2.0,40.0,0.0,60.16,0.451,526.9,217.4,1.082,0.843,1.644,0.09996,5.066,14.69,7.597,0.3573,0.8064,0.01544,0.8907,0.132,0.1014,0.09564,0.1151,0.1371,0.2201,0.05442,0.05046,0.0,0.0,16.15,5.244,60.16,407.3,19.65,0.9643,7.5,0.0,jazz,a_fine_romance_mw.mid
0.0,0.4713,0.4762,8.177,1.768,0.3719,8.709,7.208,4.448,6.638,13.51,0.5768,0.0456,0.9246,1.759,0.4427,0.06524,0.2208,0.1635,0.07239,0.6783,0.0,0.04876,0.0003628,0.4718,1.0,4.0,0.003148,6.0,194.2,117.0,0.0,0.0,0.01969,1.214,0.3057,0.09707,30.67,0.5972,152.0,7.0,2.0,22.27,0.0,3.951,16.0,4.011,57.91,0.06129,0.03918,0.03918,0.06745,0.09012,5.662,0.03275,0.04702,0.1744,0.03163,0.0,0.0005469,0.0008224,1.806,0.7683,1.0,62.0,7.0,0.0,0.7644,25.57,12.83,5.0,0.0,11.0,8.0,5.0,1.0,14.0,0.528,0.0,0.0056,0.08532,0.01351,0.03651,0.2627,0.3867,12.0,62.0,0.2,0.5642,0.2208,0.05196,0.1512,0.1874,0.1058,0.0,65.0,0.3076,0.891,0.6362,0.8083,0.9684,0.0,0.2615,0.2615,1.923,0.1405,0.6,0.01267,0.2026,4.0,42.0,0.1641,0.3379,0.03499,0.3378,1.836,0.05766,0.1059,0.0,0.1567,1.0,51.0,0.0,34.54,0.4683,212.0,137.0,4.523,1.586,2.836,0.09865,2.205,21.76,13.84,0.3842,0.8082,0.02219,0.7432,0.1195,0.09807,0.1011,0.1122,0.1295,0.2063,0.05652,0.06797,0.0,0.0,17.02,1.502,34.54,316.3,8.21,0.9698,2.643,0.0,jazz,a_foggy_day_r_gw.mid
0.0,0.4228,0.0,8.043,1.918,0.8157,0.1837,4.687,3.53,4.449,0.0,0.07689,0.4483,0.794,0.5562,0.0,0.5332,0.1823,0.6512,0.01162,0.1226,0.0,0.1057,0.04285,0.5048,1.0,3.0,0.1019,7.0,206.5,65.0,0.0,0.0,0.0,1.96,0.217,0.04889,29.5,0.7341,100.0,3.0,2.0,206.4,0.0,4.8,5.0,3.492,60.73,0.005926,0.02468,0.04777,0.05971,0.05812,5.543,0.01592,0.04857,0.1162,0.02309,0.0,0.0,0.15,2.244,1.068,2.0,65.0,5.0,0.0,0.4061,6.553,1.23,3.0,2.0,9.0,1.0,2.0,2.0,0.0,0.5945,0.0,0.01464,0.09357,0.01273,0.1056,0.0,0.4418,12.0,41.0,1.0,0.5632,0.2452,0.09852,0.1637,0.2243,0.1263,0.0,48.0,0.2519,0.8304,0.7435,0.9638,0.985,0.003802,0.3125,0.3125,0.6667,0.1783,0.0,0.03731,0.0,3.0,98.0,0.2616,0.2062,0.2267,0.4275,1.223,0.293,0.3582,0.0,1.0,2.0,50.0,0.0,20.82,0.5603,0.0,0.0,0.5409,0.8558,0.7907,0.1817,5.715,21.07,1.608,0.1805,0.6885,0.00477,0.6523,0.1153,0.1188,0.09864,0.06436,0.1607,0.2446,0.03932,0.109,0.0,0.0,24.01,2.236,20.82,53.67,7.701,0.8215,5.0,0.0,jazz,a_lovely_way_to_spend_an_evening-1943-Vs2-kar_jpp.mid
0.0,0.4075,0.4553,8.28,1.995,0.3155,9.408,3.525,3.967,5.264,0.0,0.5052,0.08649,0.4983,1.019,0.2577,0.1011,0.2301,0.2496,0.01437,0.5468,0.0,0.06536,0.001453,0.4603,1.0,4.0,0.04801,3.0,164.6,66.0,0.0,0.0,0.0,1.489,0.3428,0.1292,13.0,0.5281,140.0,4.0,4.0,41.96,0.0,3.414,7.0,3.998,57.38,0.02272,0.02884,0.05078,0.05831,0.07273,5.322,0.02884,0.03887,0.2107,0.02257,0.0,0.0,0.007143,1.182,4.667,1.0,61.0,9.0,0.0,0.8086,19.59,6.41,4.0,0.0,14.0,6.0,4.0,2.0,10.0,0.5813,0.0,0.002914,0.05218,0.005273,0.1142,0.3735,0.3352,12.0,65.0,0.5,0.7473,0.2301,0.05912,0.1639,0.1551,0.1159,0.0,72.0,0.2355,1.205,0.891,0.6939,0.958,0.0,0.2639,0.4167,2.1,0.05329,0.75,0.01677,0.0389,4.0,70.0,0.07679,0.3011,0.0004334,0.4351,1.317,0.1077,0.1419,0.0,0.1755,3.0,47.0,0.0,44.42,0.3977,182.8,160.5,1.222,1.565,2.047,0.1065,5.385,15.78,6.515,0.4357,0.6852,0.0466,0.6933,0.1316,0.09666,0.0834,0.1125,0.1396,0.2217,0.0655,0.02353,0.0,0.0,11.05,2.16,44.42,366.9,11.47,0.9717,8.0,0.0389,jazz,a_night_in_tunisia_2_jc.mid
0.0,0.46,0.2953,7.611,2.171,0.2846,10.8,5.324,3.114,4.381,17.29,0.6919,0.06074,1.179,3.549,0.5528,0.07666,0.2258,0.2163,0.06903,0.1779,0.0,0.06098,0.03216,0.5529,1.0,4.0,0.05039,5.0,180.9,115.0,0.0,0.0,0.01663,1.477,0.3046,0.07133,26.27,0.6241,130.0,7.0,4.0,9.223,0.0,5.224,15.0,2.717,56.55,0.036,0.01591,0.02519,0.03093,0.05833,4.23,0.01237,0.02784,0.1423,0.01193,0.0,0.0004376,0.0009615,1.161,1.028,0.0,60.0,0.0,0.0,0.4535,18.21,8.426,3.0,1.0,12.0,8.0,4.0,1.0,10.0,0.5471,0.0,0.01151,0.1183,0.02572,0.1851,0.3029,0.408,12.0,70.0,0.25,0.6542,0.2479,0.1129,0.1899,0.2095,0.1371,0.0,72.0,0.4661,1.224,0.9109,0.8917,0.686,0.0,0.8333,0.2361,1.406,0.2479,0.5,0.01637,0.2328,4.0,65.0,0.1861,0.2736,0.1753,0.4273,2.264,0.06628,0.15,0.0,0.04515,2.0,44.0,0.0,35.2,0.3546,172.9,146.5,3.383,1.393,2.362,0.1161,2.977,19.65,16.5,0.2723,0.6168,0.02074,0.4678,0.1434,0.1073,0.09126,0.07487,0.1314,0.2466,0.04842,0.06604,0.0,0.0,11.71,1.767,35.2,219.1,11.13,0.9695,2.643,0.0,jazz,a_string_of_pearls-rev_gw.mid
0.0,0.3979,0.3357,9.694,2.384,0.284,4.224,3.494,2.767,4.876,0.0,0.6289,0.1479,1.101,4.466,0.4923,0.1531,0.1734,0.3305,0.05128,0.1418,0.0,0.09143,0.06286,0.5169,1.0,3.0,0.03411,3.0,211.4,97.0,0.0,0.0,0.0,1.479,0.1957,0.2641,37.12,0.5402,142.0,7.0,5.0,18.59,0.0,2.394,8.0,3.811,63.87,0.004901,0.01862,0.02287,0.05266,0.109,3.917,0.02606,0.06011,0.2213,0.02234,0.0,0.0,0.0,1.337,0.6357,2.0,72.0,0.0,0.0,0.4086,21.27,5.732,5.0,0.0,10.0,6.0,8.0,3.0,8.0,0.502,0.0,0.005414,0.1405,0.05895,0.3113,0.3295,0.4194,12.0,61.0,0.25,0.5856,0.2218,0.05847,0.1561,0.2184,0.1279,0.0,60.0,0.2073,1.384,0.7818,0.966,0.9489,0.0,0.6833,0.8167,1.379,0.07181,0.375,0.02415,0.1452,3.0,71.0,0.1637,0.2662,0.1164,0.3952,1.106,0.1569,0.1736,0.0,0.07039,3.0,48.0,0.0,37.48,0.2951,400.4,254.1,1.557,1.317,3.098,0.129,4.525,13.46,5.161,0.2253,0.5058,0.01697,0.4598,0.1721,0.09702,0.104,0.06185,0.1603,0.2364,0.03502,0.04638,0.0,0.0,13.36,1.188,37.48,415.0,9.702,0.9407,5.143,0.0,jazz,a_string_of_pearls_jc.mid
0.0152,0.5966,0.2073,9.158,2.264,0.2422,3.74,3.406,2.262,2.979,22.0,0.5967,0.1281,1.021,2.886,0.1068,0.1622,0.1047,0.2992,0.0977,0.03612,0.0,0.09666,0.001512,0.5743,2.0,7.0,0.004341,2.0,156.5,82.0,0.0,0.08811,0.0004658,1.972,0.2646,0.05217,34.0,0.6833,80.0,5.0,1.0,15.74,0.0,5.577,7.0,2.559,56.52,0.01037,0.003741,0.004364,0.06421,0.08603,2.927,0.0106,0.06733,0.1428,0.005611,0.0,0.0,0.00625,1.027,1.739,0.0,60.0,0.0,0.0,0.1923,18.55,6.047,3.0,3.0,8.0,6.0,8.0,3.0,3.0,0.4517,0.0,0.02109,0.1301,0.03339,0.3182,0.2581,0.5482,12.0,60.0,0.25,0.4401,0.3747,0.1672,0.2147,0.3222,0.1418,0.0,73.0,0.225,1.971,0.3627,0.7679,0.6713,0.0,0.2466,0.2466,1.167,0.3747,0.0,0.02484,0.0,7.0,71.0,0.0438,0.3216,0.4456,0.2406,1.009,0.1489,0.1503,0.0,0.3493,2.0,140.0,0.0,29.13,0.398,363.2,84.64,1.388,1.12,1.7,0.1271,5.727,19.67,7.259,0.1002,0.4484,0.02472,0.3438,0.1667,0.1418,0.08427,0.03574,0.1123,0.2483,0.009823,0.1554,0.0,0.0,21.08,1.902,29.13,281.2,14.43,0.9889,5.0,0.0,jazz,a_taste_of_honey_dc.mid
0.0,0.5715,0.4017,8.857,1.621,0.2069,8.25,4.082,3.421,5.287,0.0,0.5568,0.03806,0.9336,3.779,0.08186,0.06909,0.032,0.1341,0.01834,0.05097,0.0,0.04181,0.08719,0.4244,3.0,3.0,0.1561,5.0,184.8,90.0,0.5019,0.5521,0.0,1.214,0.3058,0.01687,29.62,0.6773,152.0,5.0,3.0,25.26,0.0,6.405,8.0,4.7,55.06,0.01857,0.001176,0.03906,0.08494,0.1388,3.154,0.01647,0.1588,0.2882,0.05012,0.0,0.0,0.0,1.48,0.2979,3.0,60.0,5.0,0.0,0.2823,38.04,6.549,4.0,3.0,12.0,8.0,6.0,0.0,8.0,0.5538,0.0,0.0009503,0.0445,0.01441,0.02183,0.1787,0.4681,12.0,42.0,0.1667,0.5134,0.172,0.1235,0.2124,0.2573,0.1321,0.0,53.0,0.09602,2.447,0.8276,0.7993,0.9099,0.1125,0.3962,0.3962,0.0,0.1424,2.333,0.01102,0.0,3.0,42.0,0.2329,0.3598,0.4629,0.08,1.702,0.04962,0.08445,0.03986,0.06414,2.0,51.0,0.0,63.08,0.4961,1142.0,177.5,1.362,0.6836,1.305,0.07245,7.625,23.59,6.008,0.1266,0.7626,0.009392,0.951,0.1607,0.08926,0.1215,0.03273,0.1807,0.2389,0.0398,0.09652,0.0,0.0,23.19,1.165,63.08,1080.0,4.97,0.96,5.143,0.01457,jazz,a_walk_in_the_black_forest_dfk.mid
