@RELATION ./Datasets/MP3/nominalcontrol.arff

@ATTRIBUTE "Area Method of Moments Overall Average_0" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_1" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_2" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_3" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_4" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_5" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_6" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_7" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_8" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_9" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_0" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_1" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_2" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_3" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_4" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_5" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_6" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_7" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_8" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_9" REAL
@ATTRIBUTE "Beat Sum Overall Average" REAL
@ATTRIBUTE "Beat Sum Overall Standard Deviation" REAL
@ATTRIBUTE "Compactness Overall Average" REAL
@ATTRIBUTE "Compactness Overall Standard Deviation" REAL
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Average" REAL
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Standard Deviation" REAL
@ATTRIBUTE "LPC Overall Average_0" REAL
@ATTRIBUTE "LPC Overall Average_1" REAL
@ATTRIBUTE "LPC Overall Average_2" REAL
@ATTRIBUTE "LPC Overall Average_3" REAL
@ATTRIBUTE "LPC Overall Average_4" REAL
@ATTRIBUTE "LPC Overall Average_5" REAL
@ATTRIBUTE "LPC Overall Average_6" REAL
@ATTRIBUTE "LPC Overall Average_7" REAL
@ATTRIBUTE "LPC Overall Average_8" REAL
@ATTRIBUTE "LPC Overall Average_9" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_0" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_1" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_2" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_3" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_4" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_5" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_6" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_7" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_8" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_9" REAL
@ATTRIBUTE "MFCC Overall Average_0" REAL
@ATTRIBUTE "MFCC Overall Average_1" REAL
@ATTRIBUTE "MFCC Overall Average_10" REAL
@ATTRIBUTE "MFCC Overall Average_11" REAL
@ATTRIBUTE "MFCC Overall Average_12" REAL
@ATTRIBUTE "MFCC Overall Average_2" REAL
@ATTRIBUTE "MFCC Overall Average_3" REAL
@ATTRIBUTE "MFCC Overall Average_4" REAL
@ATTRIBUTE "MFCC Overall Average_5" REAL
@ATTRIBUTE "MFCC Overall Average_6" REAL
@ATTRIBUTE "MFCC Overall Average_7" REAL
@ATTRIBUTE "MFCC Overall Average_8" REAL
@ATTRIBUTE "MFCC Overall Average_9" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_0" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_1" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_10" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_11" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_12" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_2" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_3" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_4" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_5" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_6" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_7" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_8" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_9" REAL
@ATTRIBUTE "Method of Moments Overall Average_0" REAL
@ATTRIBUTE "Method of Moments Overall Average_1" REAL
@ATTRIBUTE "Method of Moments Overall Average_2" REAL
@ATTRIBUTE "Method of Moments Overall Average_3" REAL
@ATTRIBUTE "Method of Moments Overall Average_4" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_0" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_1" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_2" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_3" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_4" REAL
@ATTRIBUTE "Peak Based Spectral Smoothness Overall Average" REAL
@ATTRIBUTE "Peak Based Spectral Smoothness Overall Standard Deviation" REAL
@ATTRIBUTE "Relative Difference Function Overall Average" REAL
@ATTRIBUTE "Relative Difference Function Overall Standard Deviation" REAL
@ATTRIBUTE "Root Mean Square Overall Average" REAL
@ATTRIBUTE "Root Mean Square Overall Standard Deviation" REAL
@ATTRIBUTE "Spectral Centroid Overall Average" REAL
@ATTRIBUTE "Spectral Centroid Overall Standard Deviation" REAL
@ATTRIBUTE "Spectral Flux Overall Average" REAL
@ATTRIBUTE "Spectral Flux Overall Standard Deviation" REAL
@ATTRIBUTE "Spectral Rolloff Point Overall Average" REAL
@ATTRIBUTE "Spectral Rolloff Point Overall Standard Deviation" REAL
@ATTRIBUTE "Spectral Variability Overall Average" REAL
@ATTRIBUTE "Spectral Variability Overall Standard Deviation" REAL
@ATTRIBUTE "Strongest Beat Overall Average" REAL
@ATTRIBUTE "Strongest Beat Overall Standard Deviation" REAL
@ATTRIBUTE "Strongest Frequency Via FFT Maximum Overall Average" REAL
@ATTRIBUTE "Strongest Frequency Via FFT Maximum Overall Standard Deviation" REAL
@ATTRIBUTE "Strongest Frequency Via Spectral Centroid Overall Average" REAL
@ATTRIBUTE "Strongest Frequency Via Spectral Centroid Overall Standard Deviation" REAL
@ATTRIBUTE "Strongest Frequency Via Zero Crossings Overall Average" REAL
@ATTRIBUTE "Strongest Frequency Via Zero Crossings Overall Standard Deviation" REAL
@ATTRIBUTE "Zero Crossings Overall Average" REAL
@ATTRIBUTE "Zero Crossings Overall Standard Deviation" REAL
@ATTRIBUTE genre {Hip-Hop, Pop, Soundtrack, Instrumental, Folk}
@ATTRIBUTE title STRING

@DATA
5.369,4925000.0,56560000.0,-24250000000000.0,-278500000000000.0,-3199000000000000.0,2.389e+20,2508000000000000.0,2.88e+16,3.618e+23,1.13,1206.0,18820.0,11880000000.0,160800000000.0,2129000000000.0,1.755e+17,1448000000000.0,19160000000000.0,3.611e+20,1030.0,85.99,1531.0,192.4,0.6887,0.05126,-0.8303,0.05746,-0.07239,0.1118,-0.005939,0.06687,0.0477,0.08535,0.07671,0.0,0.2413,0.4038,0.3115,0.2096,0.1779,0.1416,0.1296,0.1329,0.1499,0.0,-101.7,5.895,0.5947,0.0547,0.9871,3.707,0.07962,-2.281,-2.189,-1.173,-1.403,-0.8156,-1.584,13.05,5.511,1.812,1.718,1.784,3.966,2.814,2.706,2.306,2.025,1.859,2.03,1.916,0.5345,64.28,4647.0,296700.0,71460000.0,0.2461,29.91,1701.0,178900.0,16440000.0,66.57,59.04,-3.759,1.306,0.1949,0.1002,28.1,29.79,0.007198,0.01578,0.2139,0.2737,0.004755,0.002902,170.9,26.12,375.5,647.9,878.0,930.9,1083.0,900.5,69.29,57.64,Hip-Hop,029587.mp3
5.988,29540000.0,331100000.0,-872600000000000.0,-9780000000000000.0,-1.096e+17,5.155e+22,8.806e+16,9.87e+17,7.259e+25,1.526,1204.0,12950.0,71150000000.0,781300000000.0,8576000000000.0,6.305e+18,7064000000000.0,77550000000000.0,8.518e+21,2009.0,165.4,1512.0,213.9,0.6008,0.04589,-0.9417,0.1822,-0.03288,0.08365,0.03078,0.03207,0.01674,0.03014,0.009231,0.0,0.1105,0.3548,0.242,0.1711,0.147,0.1221,0.1336,0.1097,0.09896,0.0,-104.0,8.636,0.1442,-0.3394,-0.8449,4.876,2.156,1.331,0.5504,0.03296,0.2982,0.1521,-0.08218,18.93,6.554,1.809,1.679,1.723,4.886,3.224,3.193,2.478,2.153,1.977,1.917,1.805,0.5982,45.56,3593.0,315500.0,62550000.0,0.3451,24.52,1855.0,132200.0,24540000.0,34.28,43.17,-3.315,1.144,0.2806,0.1519,13.04,15.54,0.007852,0.0115,0.08342,0.1297,0.007164,0.004316,126.7,14.47,178.2,356.1,407.5,485.6,574.1,539.9,36.74,34.55,Hip-Hop,137901.mp3
3.883,31490000.0,353100000.0,-991600000000000.0,-1.112e+16,-1.246e+17,6.245e+22,1.001e+17,1.122e+18,8.802e+25,0.8176,1203.0,11030.0,75740000000.0,772000000000.0,7790000000000.0,7.155e+18,6948000000000.0,70110000000000.0,8.251e+21,1212.0,54.53,1507.0,209.3,0.6297,0.034,-0.9781,0.09969,0.01934,0.1124,0.05609,0.07153,0.06623,0.04109,0.04593,0.0,0.04214,0.3855,0.2174,0.1283,0.125,0.09993,0.09073,0.0777,0.07286,0.0,-126.2,8.9,-0.7875,-1.229,-0.6574,8.9,4.911,2.076,0.8425,0.2982,-0.4818,-0.8189,-1.604,40.54,6.262,1.726,1.61,1.515,6.05,3.323,2.428,2.271,2.036,1.803,1.668,1.7,0.3883,34.67,3252.0,333300.0,63720000.0,0.2078,21.9,2125.0,170200.0,33470000.0,12.91,19.53,-3.73,1.364,0.2169,0.0686,5.889,5.071,0.003833,0.004884,0.03341,0.04006,0.005672,0.001987,210.4,4.584,94.22,112.4,184.0,158.5,324.0,273.3,20.74,17.49,Hip-Hop,145729.mp3
5.155,19030000.0,219400000.0,-362200000000000.0,-4176000000000000.0,-4.814e+16,1.379e+22,3.76e+16,4.335e+17,2.113e+25,1.285,1206.0,18570.0,45910000000.0,618000000000.0,8150000000000.0,2.621e+18,5551000000000.0,73220000000000.0,5.365e+21,556.8,89.17,1571.0,164.2,0.6739,0.05789,-0.8228,0.295,-0.01144,-0.05512,-0.07304,-0.06999,-0.005412,0.05463,0.007764,0.0,0.1467,0.2565,0.1778,0.1451,0.1101,0.1067,0.09962,0.1117,0.08899,0.0,-96.65,-0.5606,-0.09683,-0.4712,-0.2993,-1.834,1.727,0.2745,2.8,2.037,0.3837,0.6668,-0.02702,12.19,4.895,1.491,1.646,1.409,2.772,2.289,2.144,1.794,1.865,1.676,1.674,1.494,0.5144,68.76,4156.0,297000.0,61110000.0,0.2209,19.08,1025.0,96740.0,14490000.0,118.9,73.86,-4.188,1.541,0.1503,0.09141,34.26,20.28,0.004556,0.01088,0.2489,0.1644,0.003371,0.002504,173.1,29.49,418.4,527.7,1071.0,633.8,1358.0,619.4,86.92,39.64,Hip-Hop,107031.mp3
3.043,4348000.0,50060000.0,-18910000000000.0,-217700000000000.0,-2506000000000000.0,1.644e+20,1960000000000000.0,2.257e+16,2.51e+23,1.465,1212.0,8259.0,10540000000.0,96340000000.0,827000000000.0,1.375e+17,865100000000.0,7421000000000.0,1.242e+20,1036.0,314.7,1519.0,216.0,0.5479,0.1086,-0.9624,0.2058,0.1347,0.1062,0.02308,0.08433,0.02517,0.04769,0.04831,0.0,0.108,0.4086,0.2401,0.1783,0.1673,0.145,0.159,0.1131,0.1087,0.0,-136.1,13.02,-1.076,0.4096,0.9673,7.072,3.16,2.657,0.7786,-2.023,-1.05,-0.07112,-1.025,40.67,7.818,1.933,1.849,1.898,5.16,3.587,4.214,2.849,2.862,2.367,2.064,1.923,0.3037,32.43,2852.0,298800.0,59780000.0,0.2134,25.29,2203.0,188700.0,36000000.0,15.5,25.23,-3.961,1.584,0.2009,0.1393,8.765,12.61,0.003657,0.006433,0.05502,0.1168,0.005254,0.003821,198.1,4.14,161.2,317.0,273.9,394.1,372.0,446.8,23.81,28.59,Hip-Hop,026011.mp3
7.502,3546000.0,40030000.0,-12570000000000.0,-141900000000000.0,-1603000000000000.0,8.915e+19,1278000000000000.0,1.443e+16,1.283e+23,1.49,1209.0,22240.0,8574000000.0,127200000000.0,1781000000000.0,9.12e+16,1146000000000.0,16030000000000.0,2.139e+20,1749.0,75.64,1514.0,349.6,0.5625,0.07258,-0.7169,-0.1129,-0.2388,0.05363,-0.04405,0.07338,0.03912,0.05696,0.002125,0.0,0.3225,0.2592,0.2929,0.1997,0.1746,0.1703,0.1584,0.1603,0.1468,0.0,-98.62,4.105,-0.2364,-1.412,-0.4459,4.585,-0.4873,1.016,-0.943,-1.275,-1.096,-0.959,-1.015,11.98,6.237,1.941,1.652,1.56,3.768,3.447,2.666,2.262,2.211,2.063,2.254,1.896,0.7487,73.99,5133.0,254900.0,70810000.0,0.406,33.07,1498.0,206800.0,20510000.0,83.24,89.9,-3.978,1.362,0.2592,0.06963,38.31,39.61,0.00548,0.006935,0.2985,0.3107,0.006125,0.002165,220.6,1.081e-12,601.6,1337.0,1197.0,1238.0,1462.0,1235.0,93.57,79.01,Hip-Hop,019729.mp3
3.765,20550000.0,236300000.0,-422200000000000.0,-4855000000000000.0,-5.584e+16,1.735e+22,4.372e+16,5.028e+17,2.639e+25,1.036,1210.0,12280.0,49740000000.0,538200000000.0,5803000000000.0,3.066e+18,4848000000000.0,52270000000000.0,4.113e+21,852.4,125.9,1554.0,225.6,0.5479,0.059,-0.9446,0.3606,0.05521,0.04199,-0.01549,0.00215,0.03272,0.09757,-0.008746,0.0,0.08822,0.3094,0.1839,0.1366,0.1048,0.07946,0.09407,0.1133,0.0998,0.0,-114.3,9.159,0.4064,0.08637,-0.9945,-1.054,2.967,0.5863,1.055,0.3506,-0.07561,0.5747,-0.758,19.72,5.9,1.569,1.736,1.181,4.283,3.465,3.095,2.077,2.222,1.594,1.488,1.46,0.3762,39.96,2758.0,274400.0,51410000.0,0.2735,21.43,1457.0,110300.0,21020000.0,49.53,57.1,-3.845,1.581,0.1792,0.1335,14.61,14.26,0.004661,0.008119,0.09158,0.1142,0.004489,0.003636,134.0,34.89,257.8,264.4,456.6,445.8,594.9,527.5,38.08,33.76,Hip-Hop,110735.mp3
3.931,18580000.0,214300000.0,-345300000000000.0,-3981000000000000.0,-4.591e+16,1.283e+22,3.585e+16,4.134e+17,1.967e+25,1.289,1215.0,8187.0,45170000000.0,412300000000.0,3508000000000.0,2.518e+18,3724000000000.0,31730000000000.0,2.255e+21,1629.0,304.3,1636.0,232.5,0.5983,0.03168,-0.9841,0.1493,0.009314,0.06201,0.08356,0.103,0.08195,0.07269,0.03399,0.0,0.03462,0.2484,0.1828,0.1314,0.09621,0.07628,0.0598,0.05848,0.06148,0.0,-122.5,9.592,-0.9714,-0.7143,0.09273,7.003,2.916,1.108,0.8355,0.2124,0.9509,0.8393,-0.2367,26.97,4.998,1.454,1.303,1.38,3.469,2.372,1.981,1.688,1.888,1.903,1.638,1.477,0.3932,31.78,2942.0,339000.0,62740000.0,0.2323,16.21,1454.0,146900.0,27990000.0,13.99,21.6,-3.55,1.771,0.2542,0.158,5.411,6.056,0.007082,0.01163,0.02873,0.0569,0.006672,0.004403,124.1,30.45,99.94,57.32,169.1,189.2,276.6,267.4,17.7,17.11,Hip-Hop,103808.mp3
2.51,31820000.0,357100000.0,-1013000000000000.0,-1.136e+16,-1.275e+17,6.445e+22,1.023e+17,1.148e+18,9.109e+25,1.096,1215.0,15090.0,77310000000.0,913000000000.0,10780000000000.0,7.381e+18,8244000000000.0,97330000000000.0,1.155e+22,239.4,96.59,1674.0,231.7,0.5786,0.03982,-0.8162,0.58,-0.1766,0.05516,0.01908,0.05884,0.04107,0.07411,0.07073,0.0,0.2134,0.3814,0.3569,0.223,0.1873,0.1464,0.1412,0.1298,0.1214,0.0,-126.6,0.2179,-1.139,-2.009,-2.121,-4.539,-0.2707,-6.521,-4.159,-1.266,1.187,0.6934,-1.655,27.55,9.307,2.525,2.201,2.842,5.796,4.63,4.974,4.552,3.386,3.263,2.408,2.798,0.2519,58.36,2616.0,169100.0,36550000.0,0.2177,28.2,1825.0,121000.0,23280000.0,85.6,72.2,-4.109,1.338,0.0959,0.0693,38.27,26.23,0.001717,0.003667,0.2319,0.1813,0.002309,0.001826,160.4,77.59,945.5,884.1,1196.0,819.6,1341.0,818.6,85.8,52.39,Hip-Hop,147268.mp3
3.129,13130000.0,151800000.0,-172300000000000.0,-1993000000000000.0,-2.305e+16,4.523e+21,1.795e+16,2.076e+17,7.001e+24,1.272,1216.0,11850.0,31920000000.0,340000000000.0,3598000000000.0,1.257e+18,3071000000000.0,32500000000000.0,1.639e+21,791.7,231.2,1552.0,204.3,0.5429,0.09119,-0.9515,0.3168,0.03907,0.1045,0.009837,0.001307,-0.00127,-0.01028,0.008706,0.0,0.09578,0.3311,0.2329,0.1339,0.1079,0.09619,0.09724,0.08463,0.09558,0.0,-123.7,10.23,-0.1375,-0.2679,-0.2149,0.7681,-1.102,0.2471,-1.119,-1.516,-1.361,-0.5549,-0.8906,22.86,7.177,1.477,1.529,1.348,3.85,3.081,2.927,2.995,2.534,2.013,1.698,1.508,0.3123,38.79,2822.0,263900.0,50080000.0,0.2407,23.68,1727.0,126600.0,23310000.0,38.09,46.73,-3.991,1.571,0.1638,0.1237,12.32,14.62,0.00351,0.006921,0.07904,0.1181,0.004196,0.003401,156.1,69.04,187.8,291.1,385.0,456.8,519.8,485.0,33.27,31.04,Hip-Hop,071694.mp3
