@RELATION ./Datasets/MP3/control.arff

@ATTRIBUTE "MFCC Overall Average_0" REAL
@ATTRIBUTE "MFCC Overall Average_1" REAL
@ATTRIBUTE "MFCC Overall Average_10" REAL
@ATTRIBUTE "MFCC Overall Average_11" REAL
@ATTRIBUTE "MFCC Overall Average_12" REAL
@ATTRIBUTE "MFCC Overall Average_2" REAL
@ATTRIBUTE "MFCC Overall Average_3" REAL
@ATTRIBUTE "MFCC Overall Average_4" REAL
@ATTRIBUTE "MFCC Overall Average_5" REAL
@ATTRIBUTE "MFCC Overall Average_6" REAL
@ATTRIBUTE "MFCC Overall Average_7" REAL
@ATTRIBUTE "MFCC Overall Average_8" REAL
@ATTRIBUTE "MFCC Overall Average_9" REAL
@ATTRIBUTE "Partial Based Spectral Centroid Overall Average" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_0" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_1" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_10" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_11" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_12" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_2" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_3" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_4" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_5" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_6" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_7" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_8" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_9" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_0" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_1" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_10" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_11" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_12" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_2" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_3" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_4" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_5" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_6" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_7" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_8" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_9" REAL
@ATTRIBUTE "Strongest Frequency Via FFT Maximum Overall Average" REAL
@ATTRIBUTE genre STRING
@ATTRIBUTE title STRING

@DATA
-101.7,5.895,0.5947,0.0547,0.9871,3.707,0.07962,-2.281,-2.189,-1.173,-1.403,-0.8156,-1.584,2.214,-101.0,5.964,0.5961,0.02954,1.021,3.843,0.09535,-2.318,-2.177,-1.22,-1.462,-0.8455,-1.577,1010.0,59.39,?,?,?,38.23,?,23.01,?,12.0,14.49,?,15.65,375.5,'[\'Hip-Hop\']',029587.mp3
-104.0,8.636,0.1442,-0.3394,-0.8449,4.876,2.156,1.331,0.5504,0.03296,0.2982,0.1521,-0.08218,1.108,-103.8,8.657,0.1132,-0.3182,-0.8263,4.723,2.087,1.31,0.5643,0.05336,0.2295,0.1797,-0.0417,1038.0,86.33,?,?,?,46.98,?,?,?,?,?,?,?,178.2,'[\'Hip-Hop\']',137901.mp3
-126.2,8.9,-0.7875,-1.229,-0.6574,8.9,4.911,2.076,0.8425,0.2982,-0.4818,-0.8189,-1.604,?,-126.4,8.934,-0.8744,-1.323,-0.6617,9.361,5.119,2.185,0.8646,0.2492,-0.5826,-0.8474,-1.642,1263.0,89.12,?,?,?,93.44,51.09,?,?,?,?,?,16.32,94.22,'[\'Hip-Hop\']',145729.mp3
-96.65,-0.5606,-0.09683,-0.4712,-0.2993,-1.834,1.727,0.2745,2.8,2.037,0.3837,0.6668,-0.02702,4.149,-96.67,-0.3324,-0.12,-0.4778,-0.2725,-1.931,1.807,0.1947,2.896,2.097,0.439,0.6752,-0.02015,966.6,?,?,?,?,19.09,17.92,?,28.91,20.89,?,?,?,418.4,'[\'Hip-Hop\']',107031.mp3
-136.1,13.02,-1.076,0.4096,0.9673,7.072,3.16,2.657,0.7786,-2.023,-1.05,-0.07112,-1.025,?,-136.1,13.24,-1.091,0.4891,1.07,6.87,3.062,2.987,0.8162,-2.115,-1.097,-0.05238,-1.063,1361.0,132.2,?,?,?,?,?,?,?,?,?,?,?,161.2,'[\'Hip-Hop\']',026011.mp3
-98.62,4.105,-0.2364,-1.412,-0.4459,4.585,-0.4873,1.016,-0.943,-1.275,-1.096,-0.959,-1.015,?,-97.99,4.148,-0.2402,-1.434,-0.4722,4.601,-0.6146,0.9186,-0.9979,-1.296,-1.152,-1.07,-1.084,979.9,41.03,?,14.23,?,?,?,?,?,?,?,?,?,601.6,'[\'Hip-Hop\']',019729.mp3
-114.3,9.159,0.4064,0.08637,-0.9945,-1.054,2.967,0.5863,1.055,0.3506,-0.07561,0.5747,-0.758,?,-114.0,9.391,0.3153,0.09596,-0.9941,-1.088,3.003,0.6142,1.058,0.3525,-0.02963,0.5939,-0.7971,1140.0,93.73,?,?,9.877,?,29.83,?,?,?,?,?,7.833,257.8,'[\'Hip-Hop\']',110735.mp3
-122.5,9.592,-0.9714,-0.7143,0.09273,7.003,2.916,1.108,0.8355,0.2124,0.9509,0.8393,-0.2367,?,-122.6,9.643,-0.9633,-0.6994,0.0667,6.867,2.978,1.048,0.877,0.1948,0.9634,0.812,-0.2535,1225.0,96.33,9.51,6.847,?,68.6,29.69,?,?,?,9.41,?,?,99.94,'[\'Hip-Hop\']',103808.mp3
-126.6,0.2179,-1.139,-2.009,-2.121,-4.539,-0.2707,-6.521,-4.159,-1.266,1.187,0.6934,-1.655,2.763,-127.8,0.4579,-1.159,-2.055,-2.222,-4.867,-0.3842,-6.836,-4.295,-1.316,1.177,0.6179,-1.712,1278.0,?,?,20.43,22.04,?,?,68.25,42.81,?,?,?,?,945.5,'[\'Hip-Hop\']',147268.mp3
-123.7,10.23,-0.1375,-0.2679,-0.2149,0.7681,-1.102,0.2471,-1.119,-1.516,-1.361,-0.5549,-0.8906,?,-123.5,10.16,-0.07412,-0.2904,-0.2131,0.8173,-1.084,0.2407,-1.062,-1.56,-1.285,-0.518,-0.9381,1235.0,101.4,?,?,?,?,?,?,?,15.38,12.7,?,9.257,187.8,'[\'Hip-Hop\']',071694.mp3
