@RELATION ./Datasets/MP3/nominalswap.arff

@ATTRIBUTE "Area Method of Moments Overall Average_0" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_1" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_2" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_3" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_4" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_5" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_6" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_7" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_8" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_9" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_0" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_1" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_2" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_3" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_4" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_5" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_6" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_7" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_8" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_9" REAL
@ATTRIBUTE "Beat Sum Overall Average" REAL
@ATTRIBUTE "Beat Sum Overall Standard Deviation" REAL
@ATTRIBUTE "Compactness Overall Average" REAL
@ATTRIBUTE "Compactness Overall Standard Deviation" REAL
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Average" REAL
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Standard Deviation" REAL
@ATTRIBUTE "LPC Overall Average_0" REAL
@ATTRIBUTE "LPC Overall Average_1" REAL
@ATTRIBUTE "LPC Overall Average_2" REAL
@ATTRIBUTE "LPC Overall Average_3" REAL
@ATTRIBUTE "LPC Overall Average_4" REAL
@ATTRIBUTE "LPC Overall Average_5" REAL
@ATTRIBUTE "LPC Overall Average_6" REAL
@ATTRIBUTE "LPC Overall Average_7" REAL
@ATTRIBUTE "LPC Overall Average_8" REAL
@ATTRIBUTE "LPC Overall Average_9" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_0" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_1" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_2" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_3" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_4" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_5" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_6" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_7" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_8" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_9" REAL
@ATTRIBUTE "MFCC Overall Average_0" REAL
@ATTRIBUTE "MFCC Overall Average_1" REAL
@ATTRIBUTE "MFCC Overall Average_10" REAL
@ATTRIBUTE "MFCC Overall Average_11" REAL
@ATTRIBUTE "MFCC Overall Average_12" REAL
@ATTRIBUTE "MFCC Overall Average_2" REAL
@ATTRIBUTE "MFCC Overall Average_3" REAL
@ATTRIBUTE "MFCC Overall Average_4" REAL
@ATTRIBUTE "MFCC Overall Average_5" REAL
@ATTRIBUTE "MFCC Overall Average_6" REAL
@ATTRIBUTE "MFCC Overall Average_7" REAL
@ATTRIBUTE "MFCC Overall Average_8" REAL
@ATTRIBUTE "MFCC Overall Average_9" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_0" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_1" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_10" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_11" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_12" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_2" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_3" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_4" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_5" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_6" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_7" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_8" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_9" REAL
@ATTRIBUTE "Method of Moments Overall Average_0" REAL
@ATTRIBUTE "Method of Moments Overall Average_1" REAL
@ATTRIBUTE "Method of Moments Overall Average_2" REAL
@ATTRIBUTE "Method of Moments Overall Average_3" REAL
@ATTRIBUTE "Method of Moments Overall Average_4" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_0" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_1" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_2" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_3" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_4" REAL
@ATTRIBUTE "Peak Based Spectral Smoothness Overall Average" REAL
@ATTRIBUTE "Peak Based Spectral Smoothness Overall Standard Deviation" REAL
@ATTRIBUTE "Relative Difference Function Overall Average" REAL
@ATTRIBUTE "Relative Difference Function Overall Standard Deviation" REAL
@ATTRIBUTE "Root Mean Square Overall Average" REAL
@ATTRIBUTE "Root Mean Square Overall Standard Deviation" REAL
@ATTRIBUTE "Spectral Centroid Overall Average" REAL
@ATTRIBUTE "Spectral Centroid Overall Standard Deviation" REAL
@ATTRIBUTE "Spectral Flux Overall Average" REAL
@ATTRIBUTE "Spectral Flux Overall Standard Deviation" REAL
@ATTRIBUTE "Spectral Rolloff Point Overall Average" REAL
@ATTRIBUTE "Spectral Rolloff Point Overall Standard Deviation" REAL
@ATTRIBUTE "Spectral Variability Overall Average" REAL
@ATTRIBUTE "Spectral Variability Overall Standard Deviation" REAL
@ATTRIBUTE "Strongest Beat Overall Average" REAL
@ATTRIBUTE "Strongest Beat Overall Standard Deviation" REAL
@ATTRIBUTE "Strongest Frequency Via FFT Maximum Overall Average" REAL
@ATTRIBUTE "Strongest Frequency Via FFT Maximum Overall Standard Deviation" REAL
@ATTRIBUTE "Strongest Frequency Via Spectral Centroid Overall Average" REAL
@ATTRIBUTE "Strongest Frequency Via Spectral Centroid Overall Standard Deviation" REAL
@ATTRIBUTE "Strongest Frequency Via Zero Crossings Overall Average" REAL
@ATTRIBUTE "Strongest Frequency Via Zero Crossings Overall Standard Deviation" REAL
@ATTRIBUTE "Zero Crossings Overall Average" REAL
@ATTRIBUTE "Zero Crossings Overall Standard Deviation" REAL
@ATTRIBUTE genre {Hip-Hop, Pop, Soundtrack, Instrumental, Folk}
@ATTRIBUTE title STRING

@DATA
5.214,15850000.0,182500000.0,-251400000000000.0,-2894000000000000.0,-3.331e+16,7.97e+21,2.605e+16,2.999e+17,1.216e+25,0.9709,1207.0,14700.0,38290000000.0,453500000000.0,5367000000000.0,1.821e+18,4086000000000.0,48360000000000.0,2.939e+21,1222.0,137.4,1530.0,194.5,0.5719,0.0441,-0.9114,0.2858,-0.1086,0.033,-0.007847,0.02602,0.01414,0.06077,0.02795,0.0,0.1585,0.3702,0.2475,0.1967,0.1655,0.148,0.1494,0.1398,0.12,0.0,-102.8,6.057,-0.1329,-1.362,-1.024,2.547,0.5832,-0.1898,-0.1883,-0.3226,0.5088,0.1707,-0.8758,18.39,5.657,1.913,2.055,1.972,4.936,3.694,3.226,2.637,2.432,2.189,2.042,2.039,0.5205,50.98,3493.0,271500.0,55950000.0,0.267,25.95,1718.0,132900.0,22250000.0,51.9,50.69,-3.245,1.202,0.2134,0.1048,18.8,21.22,0.006462,0.007096,0.1264,0.1675,0.005277,0.00291,206.7,12.44,295.8,519.1,587.4,663.1,793.1,692.1,50.76,44.29,Hip-Hop,086415.mp3
6.073,14050000.0,162200000.0,-197300000000000.0,-2278000000000000.0,-2.63e+16,5.542e+21,2.051e+16,2.368e+17,8.531e+24,1.126,1208.0,18800.0,33940000000.0,459900000000.0,6097000000000.0,1.43e+18,4144000000000.0,54930000000000.0,2.966e+21,981.0,167.6,1526.0,200.7,0.5988,0.05718,-0.8484,0.1481,-0.111,0.02807,-0.01896,0.03948,0.04212,0.02663,0.02391,0.0,0.1858,0.3459,0.222,0.1559,0.1419,0.1323,0.16,0.1108,0.1047,0.0,-95.34,3.435,-0.8044,-1.21,-1.077,2.28,0.08472,-0.6641,-0.1778,0.1144,-0.2822,-0.9044,-0.2593,14.16,5.211,1.929,1.831,1.788,4.359,2.795,2.642,2.294,2.04,2.033,1.803,2.069,0.606,65.39,4294.0,280000.0,61850000.0,0.2644,25.08,1519.0,132800.0,18900000.0,76.74,66.67,-3.51,1.28,0.1972,0.09145,28.12,23.94,0.005492,0.00763,0.2018,0.2037,0.004657,0.002544,192.1,36.77,364.0,584.4,878.8,748.2,1120.0,744.2,71.71,47.63,Hip-Hop,075379.mp3
9.856,9621000.0,110200000.0,-92570000000000.0,-1060000000000000.0,-1.214e+16,1.781e+21,9543000000000000.0,1.093e+17,2.674e+24,1.3,1208.0,20700.0,23240000000.0,332100000000.0,4560000000000.0,6.707e+17,2989000000000.0,41050000000000.0,1.507e+21,2912.0,235.5,1579.0,155.6,0.4883,0.03719,-0.8336,-0.1084,-0.1566,-0.06662,-0.04539,-0.02224,-0.02449,-0.03585,-0.02586,0.0,0.1724,0.2845,0.1942,0.154,0.1347,0.1179,0.1025,0.1145,0.1186,0.0,-88.53,-1.143,0.1034,-0.2456,-0.3747,0.987,-0.417,0.8835,0.2514,0.3741,0.1401,0.9238,-0.3196,12.16,4.467,1.552,1.677,1.487,3.501,2.465,2.981,2.133,2.258,1.996,1.723,1.674,0.9839,77.73,5637.0,304800.0,77650000.0,0.2754,20.92,1226.0,146600.0,16190000.0,61.17,62.79,-3.527,1.153,0.3261,0.08573,25.69,22.14,0.007441,0.005899,0.199,0.2154,0.007872,0.002573,220.6,0.6627,155.5,373.9,802.7,691.8,1139.0,716.4,72.92,45.85,Hip-Hop,055572.mp3
4.05,29270000.0,327900000.0,-856900000000000.0,-9597000000000000.0,-1.075e+17,5.017e+22,8.641e+16,9.678e+17,7.048e+25,0.6401,1207.0,9421.0,70660000000.0,671400000000.0,6178000000000.0,6.205e+18,6043000000000.0,55600000000000.0,6.076e+21,1641.0,58.76,1541.0,247.3,0.4905,0.04102,-0.9863,0.1832,0.1766,0.1232,0.1118,0.1181,0.1165,0.101,0.06194,0.0,0.02408,0.3155,0.1657,0.1429,0.1203,0.074,0.06912,0.06843,0.06149,0.0,-122.7,13.03,0.4533,0.1522,0.2379,9.362,4.966,1.926,1.186,-0.5961,-1.061,-0.367,-0.7251,19.12,5.029,1.296,1.62,1.815,2.753,2.194,1.768,1.64,1.71,1.547,1.308,1.339,0.4038,29.33,2888.0,358600.0,68270000.0,0.2231,17.54,1668.0,161900.0,30970000.0,9.708,11.95,-3.562,1.324,0.25,0.09375,5.504,4.519,0.004448,0.00577,0.02696,0.03371,0.006522,0.002611,182.4,26.38,122.7,62.88,172.0,141.2,238.1,203.3,15.24,13.01,Hip-Hop,136469.mp3
3.418,13130000.0,151900000.0,-172400000000000.0,-1994000000000000.0,-2.307e+16,4.528e+21,1.796e+16,2.077e+17,7.006e+24,1.371,1212.0,10860.0,31840000000.0,326600000000.0,3298000000000.0,1.254e+18,2970000000000.0,30040000000000.0,1.503e+21,1032.0,230.3,1559.0,227.7,0.5162,0.04959,-0.964,0.06683,0.1335,0.07444,0.08635,0.04145,0.04291,0.01119,-0.001172,0.0,0.1203,0.3822,0.1829,0.1141,0.09908,0.08364,0.08538,0.0936,0.09043,0.0,-132.4,9.559,-0.04737,-0.5573,-1.022,4.643,0.546,-0.4724,0.2926,1.089,0.4734,0.1808,0.3167,36.35,6.965,1.723,1.544,1.434,3.779,2.844,2.638,2.476,2.013,1.98,2.149,1.772,0.3418,36.02,3454.0,369900.0,73150000.0,0.2299,25.01,2255.0,191500.0,37550000.0,20.87,46.28,-4.407,1.972,0.208,0.1039,7.887,16.13,0.00217,0.004355,0.04459,0.113,0.005412,0.002817,181.6,53.89,143.2,335.1,246.5,504.1,324.6,369.2,20.77,23.63,Hip-Hop,071695.mp3
6.112,21250000.0,244500000.0,-451600000000000.0,-5196000000000000.0,-5.978e+16,1.919e+22,4.678e+16,5.383e+17,2.923e+25,1.063,1207.0,12160.0,51290000000.0,553300000000.0,5947000000000.0,3.27e+18,4983000000000.0,53560000000000.0,4.362e+21,2284.0,68.31,1587.0,191.7,0.5793,0.03296,-0.9652,0.2061,-0.1127,-0.03166,0.1143,0.05206,0.009927,0.06236,0.0531,0.0,0.04489,0.3497,0.3012,0.1939,0.1725,0.1488,0.138,0.1317,0.1139,0.0,-101.3,6.459,-0.1711,-0.188,0.3203,6.337,0.3256,-0.7343,0.09915,0.3444,0.5365,-0.1537,0.02788,15.16,5.404,1.792,1.807,1.778,4.729,2.982,3.2,2.441,2.234,1.996,1.953,1.905,0.6102,43.57,3545.0,329900.0,66360000.0,0.2162,20.73,1707.0,138500.0,26900000.0,21.92,22.64,-4.004,1.251,0.2946,0.03521,8.922,6.632,0.0042,0.004228,0.05195,0.06891,0.00756,0.001164,220.6,1.109e-12,99.6,50.01,278.8,207.2,438.5,317.1,28.06,20.29,Hip-Hop,113030.mp3
4.186,8342000.0,95670000.0,-69590000000000.0,-798100000000000.0,-9153000000000000.0,1.161e+21,7186000000000000.0,8.242e+16,1.751e+24,1.173,1206.0,14540.0,20120000000.0,236700000000.0,2783000000000.0,5.035e+17,2123000000000.0,24960000000000.0,7.986e+20,859.2,128.4,1538.0,226.2,0.5437,0.06796,-0.9025,0.3046,-0.1534,0.09656,0.0812,0.02685,0.005697,0.05603,0.06696,0.0,0.1636,0.3771,0.2929,0.2115,0.1657,0.1751,0.1588,0.1483,0.1365,0.0,-110.7,4.92,0.2858,-0.4016,-0.05951,4.132,-0.824,0.185,0.8253,-0.01614,-0.4898,0.4132,-0.492,21.25,6.483,2.586,2.691,2.777,6.01,4.426,3.821,3.592,3.448,2.489,2.466,2.563,0.4181,52.37,3405.0,251400.0,52210000.0,0.2283,26.78,1821.0,148000.0,27300000.0,49.57,59.64,-3.808,1.381,0.1816,0.08488,21.15,22.83,0.003827,0.005962,0.1387,0.1836,0.004542,0.00239,164.9,55.18,356.0,551.6,660.9,713.6,810.8,692.2,51.89,44.3,Hip-Hop,049478.mp3
4.389,30480000.0,341400000.0,-929100000000000.0,-1.041e+16,-1.165e+17,5.664e+22,9.369e+16,1.049e+18,7.956e+25,0.9469,1207.0,16190.0,73560000000.0,904400000000.0,11050000000000.0,6.727e+18,8146000000000.0,99560000000000.0,1.132e+22,665.5,60.65,1603.0,204.8,0.5203,0.03915,-0.8649,0.1847,-0.001801,-0.03667,0.02034,0.05534,0.001112,0.04137,0.02855,0.0,0.2302,0.496,0.3179,0.1887,0.1726,0.1415,0.1653,0.1252,0.1095,0.0,-105.9,10.38,0.3203,-0.5711,-0.2661,2.347,0.08321,0.2925,0.1763,0.6011,0.7463,-0.157,-0.1144,12.98,6.663,1.672,1.647,1.659,4.193,2.815,2.592,2.043,2.248,1.906,1.717,1.862,0.4385,56.26,3969.0,252800.0,66760000.0,0.1933,36.12,2406.0,224000.0,30590000.0,56.8,53.58,-3.875,1.184,0.1602,0.04227,24.23,28.89,0.002476,0.00243,0.1831,0.2556,0.003904,0.001261,204.8,19.17,234.8,371.8,757.1,902.9,955.4,908.6,61.15,58.15,Hip-Hop,142082.mp3
10.41,5033000.0,57950000.0,-25330000000000.0,-291700000000000.0,-3359000000000000.0,2.55e+20,2626000000000000.0,3.024e+16,3.893e+23,2.826,1213.0,11110.0,12210000000.0,126200000000.0,1288000000000.0,1.844e+17,1138000000000.0,11610000000000.0,2.239e+20,4774.0,115.0,1517.0,231.2,0.5019,0.03417,-0.9436,0.5686,-0.2163,0.1293,-0.1755,-0.1169,-0.0147,-0.02915,-0.01475,0.0,0.07413,0.2719,0.2714,0.2747,0.1588,0.1633,0.1244,0.1083,0.08858,0.0,-86.37,8.349,0.6157,-0.2143,-0.8899,-2.273,1.441,3.171,0.326,0.6085,0.5635,1.519,0.8908,18.76,5.429,1.376,1.382,1.446,4.5,3.08,2.3,1.999,1.726,1.818,1.632,1.729,1.041,36.23,1899.0,154600.0,26600000.0,0.6575,16.38,942.3,53960.0,10020000.0,47.29,41.31,-2.871,1.192,0.4254,0.1588,15.42,12.14,0.01596,0.0159,0.1137,0.1133,0.01061,0.004095,187.4,0.8332,264.5,342.6,481.9,379.3,629.3,434.8,40.27,27.83,Hip-Hop,030058.mp3
8.55,16410000.0,188600000.0,-269200000000000.0,-3095000000000000.0,-3.557e+16,8.836e+21,2.786e+16,3.202e+17,1.342e+25,1.246,1207.0,18690.0,39600000000.0,534300000000.0,7052000000000.0,1.949e+18,4818000000000.0,63570000000000.0,3.99e+21,1705.0,94.34,1545.0,159.4,0.5963,0.02527,-0.8377,0.199,-0.2932,0.03074,-0.05312,0.0043,0.02508,0.03193,0.0009265,0.0,0.1545,0.255,0.1499,0.144,0.1253,0.1027,0.09796,0.1112,0.1034,0.0,-85.81,1.113,-1.166,-1.44,-0.655,4.468,0.548,-0.1767,0.4216,-0.2377,-0.2398,-0.3246,-0.1345,12.51,4.057,1.689,1.662,1.476,3.092,2.214,2.509,1.998,1.921,2.094,1.834,1.848,0.8554,68.49,4223.0,246800.0,54770000.0,0.3224,18.88,1023.0,102500.0,14360000.0,100.1,73.86,-3.085,1.146,0.2536,0.09721,29.79,20.86,0.009778,0.01246,0.2365,0.1873,0.005854,0.002779,203.4,28.12,338.5,552.1,930.8,651.8,1263.0,669.9,80.82,42.87,Hip-Hop,089447.mp3
