@RELATION ./Datasets/MP3/swap.arff

@ATTRIBUTE "MFCC Overall Average_0" REAL
@ATTRIBUTE "MFCC Overall Average_1" REAL
@ATTRIBUTE "MFCC Overall Average_10" REAL
@ATTRIBUTE "MFCC Overall Average_11" REAL
@ATTRIBUTE "MFCC Overall Average_12" REAL
@ATTRIBUTE "MFCC Overall Average_2" REAL
@ATTRIBUTE "MFCC Overall Average_3" REAL
@ATTRIBUTE "MFCC Overall Average_4" REAL
@ATTRIBUTE "MFCC Overall Average_5" REAL
@ATTRIBUTE "MFCC Overall Average_6" REAL
@ATTRIBUTE "MFCC Overall Average_7" REAL
@ATTRIBUTE "MFCC Overall Average_8" REAL
@ATTRIBUTE "MFCC Overall Average_9" REAL
@ATTRIBUTE "Partial Based Spectral Centroid Overall Average" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_0" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_1" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_10" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_11" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_12" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_2" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_3" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_4" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_5" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_6" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_7" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_8" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_9" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_0" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_1" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_10" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_11" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_12" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_2" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_3" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_4" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_5" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_6" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_7" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_8" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_9" REAL
@ATTRIBUTE "Strongest Frequency Via FFT Maximum Overall Average" REAL
@ATTRIBUTE genre STRING
@ATTRIBUTE title STRING

@DATA
-102.8,6.057,-0.1329,-1.362,-1.024,2.547,0.5832,-0.1898,-0.1883,-0.3226,0.5088,0.1707,-0.8758,1.553,-102.6,6.053,-0.1921,-1.385,-1.007,2.589,0.4476,-0.155,-0.111,-0.3024,0.4648,0.1229,-0.9342,1026.0,60.28,?,13.69,9.825,?,?,?,?,?,?,?,?,295.8,'[\'Hip-Hop\']',086415.mp3
-95.34,3.435,-0.8044,-1.21,-1.077,2.28,0.08472,-0.6641,-0.1778,0.1144,-0.2822,-0.9044,-0.2593,2.927,-95.37,3.187,-0.8343,-1.243,-1.143,2.129,0.07695,-0.6497,-0.1606,0.08806,-0.266,-0.8855,-0.3024,953.6,?,?,12.27,11.27,?,?,?,?,?,?,?,?,364.0,'[\'Hip-Hop\']',075379.mp3
-88.53,-1.143,0.1034,-0.2456,-0.3747,0.987,-0.417,0.8835,0.2514,0.3741,0.1401,0.9238,-0.3196,2.253,-88.27,-1.231,0.0783,-0.3094,-0.3579,0.8669,-0.4166,0.8915,0.2722,0.4016,0.1882,0.9123,-0.355,882.6,?,?,?,?,?,?,?,?,?,?,8.941,?,155.5,'[\'Hip-Hop\']',055572.mp3
-122.7,13.03,0.4533,0.1522,0.2379,9.362,4.966,1.926,1.186,-0.5961,-1.061,-0.367,-0.7251,0.2283,-122.5,13.03,0.46,0.1803,0.246,9.38,5.007,1.923,1.199,-0.5934,-1.075,-0.3895,-0.7294,1225.0,130.2,?,?,?,93.76,50.03,19.15,11.88,?,10.63,?,7.15,122.7,'[\'Hip-Hop\']',136469.mp3
-132.4,9.559,-0.04737,-0.5573,-1.022,4.643,0.546,-0.4724,0.2926,1.089,0.4734,0.1808,0.3167,0.7021,-134.1,9.078,-0.06107,-0.5741,-0.9883,4.698,0.6378,-0.3933,0.2456,1.035,0.5198,0.3624,0.4021,1341.0,90.41,?,?,9.778,46.83,?,?,?,?,?,?,?,143.2,'[\'Hip-Hop\']',071695.mp3
-101.3,6.459,-0.1711,-0.188,0.3203,6.337,0.3256,-0.7343,0.09915,0.3444,0.5365,-0.1537,0.02788,0.525,-101.2,6.578,-0.2348,-0.2579,0.2999,6.2,0.2631,-0.6641,0.1164,0.4149,0.634,-0.112,0.02921,1012.0,65.56,?,?,?,61.83,?,?,?,?,?,?,?,99.6,'[\'Hip-Hop\']',113030.mp3
-110.7,4.92,0.2858,-0.4016,-0.05951,4.132,-0.824,0.185,0.8253,-0.01614,-0.4898,0.4132,-0.492,?,-110.5,4.873,0.2666,-0.4155,-0.08181,4.039,-0.8919,0.1735,0.9626,0.1221,-0.4864,0.3805,-0.4911,1105.0,48.27,?,?,?,?,?,?,?,?,?,?,?,356.0,'[\'Hip-Hop\']',049478.mp3
-105.9,10.38,0.3203,-0.5711,-0.2661,2.347,0.08321,0.2925,0.1763,0.6011,0.7463,-0.157,-0.1144,2.006,-105.8,10.61,0.3466,-0.5727,-0.2644,2.282,0.1062,0.2643,0.1717,0.6139,0.7202,-0.1793,-0.1399,1058.0,105.9,?,?,?,?,?,?,?,?,?,?,?,234.8,'[\'Hip-Hop\']',142082.mp3
-86.37,8.349,0.6157,-0.2143,-0.8899,-2.273,1.441,3.171,0.326,0.6085,0.5635,1.519,0.8908,1.523,-86.5,8.527,0.6192,-0.2336,-0.9354,-2.333,1.446,3.276,0.3131,0.623,0.5431,1.498,0.9353,864.8,85.1,6.016,?,?,22.82,?,32.68,?,?,?,14.89,?,264.5,'[\'Hip-Hop\']',030058.mp3
-85.81,1.113,-1.166,-1.44,-0.655,4.468,0.548,-0.1767,0.4216,-0.2377,-0.2398,-0.3246,-0.1345,3.448,-85.8,1.072,-1.198,-1.453,-0.6507,4.519,0.5375,-0.1978,0.4684,-0.2223,-0.2441,-0.3616,-0.1491,858.0,?,11.83,14.43,6.286,45.08,?,?,?,?,?,?,?,338.5,'[\'Hip-Hop\']',089447.mp3
