@RELATION ./Datasets/MP3/newtrain.arff

@ATTRIBUTE "Area Method of Moments Overall Average_0" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_1" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_2" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_3" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_4" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_5" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_6" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_7" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_8" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_9" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_0" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_1" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_2" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_3" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_4" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_5" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_6" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_7" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_8" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_9" REAL
@ATTRIBUTE "Beat Sum Overall Average" REAL
@ATTRIBUTE "Beat Sum Overall Standard Deviation" REAL
@ATTRIBUTE "Compactness Overall Average" REAL
@ATTRIBUTE "Compactness Overall Standard Deviation" REAL
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Average" REAL
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Standard Deviation" REAL
@ATTRIBUTE "LPC Overall Average_0" REAL
@ATTRIBUTE "LPC Overall Average_1" REAL
@ATTRIBUTE "LPC Overall Average_2" REAL
@ATTRIBUTE "LPC Overall Average_3" REAL
@ATTRIBUTE "LPC Overall Average_4" REAL
@ATTRIBUTE "LPC Overall Average_5" REAL
@ATTRIBUTE "LPC Overall Average_6" REAL
@ATTRIBUTE "LPC Overall Average_7" REAL
@ATTRIBUTE "LPC Overall Average_8" REAL
@ATTRIBUTE "LPC Overall Average_9" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_0" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_1" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_2" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_3" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_4" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_5" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_6" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_7" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_8" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_9" REAL
@ATTRIBUTE "MFCC Overall Average_0" REAL
@ATTRIBUTE "MFCC Overall Average_1" REAL
@ATTRIBUTE "MFCC Overall Average_10" REAL
@ATTRIBUTE "MFCC Overall Average_11" REAL
@ATTRIBUTE "MFCC Overall Average_12" REAL
@ATTRIBUTE "MFCC Overall Average_2" REAL
@ATTRIBUTE "MFCC Overall Average_3" REAL
@ATTRIBUTE "MFCC Overall Average_4" REAL
@ATTRIBUTE "MFCC Overall Average_5" REAL
@ATTRIBUTE "MFCC Overall Average_6" REAL
@ATTRIBUTE "MFCC Overall Average_7" REAL
@ATTRIBUTE "MFCC Overall Average_8" REAL
@ATTRIBUTE "MFCC Overall Average_9" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_0" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_1" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_10" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_11" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_12" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_2" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_3" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_4" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_5" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_6" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_7" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_8" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_9" REAL
@ATTRIBUTE "Method of Moments Overall Average_0" REAL
@ATTRIBUTE "Method of Moments Overall Average_1" REAL
@ATTRIBUTE "Method of Moments Overall Average_2" REAL
@ATTRIBUTE "Method of Moments Overall Average_3" REAL
@ATTRIBUTE "Method of Moments Overall Average_4" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_0" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_1" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_2" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_3" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_4" REAL
@ATTRIBUTE "Peak Based Spectral Smoothness Overall Average" REAL
@ATTRIBUTE "Peak Based Spectral Smoothness Overall Standard Deviation" REAL
@ATTRIBUTE "Relative Difference Function Overall Average" REAL
@ATTRIBUTE "Relative Difference Function Overall Standard Deviation" REAL
@ATTRIBUTE "Root Mean Square Overall Average" REAL
@ATTRIBUTE "Root Mean Square Overall Standard Deviation" REAL
@ATTRIBUTE "Spectral Centroid Overall Average" REAL
@ATTRIBUTE "Spectral Centroid Overall Standard Deviation" REAL
@ATTRIBUTE "Spectral Flux Overall Average" REAL
@ATTRIBUTE "Spectral Flux Overall Standard Deviation" REAL
@ATTRIBUTE "Spectral Rolloff Point Overall Average" REAL
@ATTRIBUTE "Spectral Rolloff Point Overall Standard Deviation" REAL
@ATTRIBUTE "Spectral Variability Overall Average" REAL
@ATTRIBUTE "Spectral Variability Overall Standard Deviation" REAL
@ATTRIBUTE "Strongest Beat Overall Average" REAL
@ATTRIBUTE "Strongest Beat Overall Standard Deviation" REAL
@ATTRIBUTE "Strongest Frequency Via FFT Maximum Overall Average" REAL
@ATTRIBUTE "Strongest Frequency Via FFT Maximum Overall Standard Deviation" REAL
@ATTRIBUTE "Strongest Frequency Via Spectral Centroid Overall Average" REAL
@ATTRIBUTE "Strongest Frequency Via Spectral Centroid Overall Standard Deviation" REAL
@ATTRIBUTE "Strongest Frequency Via Zero Crossings Overall Average" REAL
@ATTRIBUTE "Strongest Frequency Via Zero Crossings Overall Standard Deviation" REAL
@ATTRIBUTE "Zero Crossings Overall Average" REAL
@ATTRIBUTE "Zero Crossings Overall Standard Deviation" REAL
@ATTRIBUTE genre STRING
@ATTRIBUTE title STRING

@DATA
6.565,10340000.0,118800000.0,-106900000000000.0,-1228000000000000.0,-1.411e+16,2.21e+21,1.106e+16,1.271e+17,3.353e+24,1.076,1206.0,14950.0,24940000000.0,297800000000.0,3552000000000.0,7.736e+17,2682000000000.0,31980000000000.0,1.266e+21,2309.0,83.24,1570.0,175.6,0.6502,0.02403,-0.93,0.1214,0.002236,-0.1079,-0.0908,0.04727,0.01107,0.007406,0.06113,0.0,0.1184,0.4246,0.2144,0.1871,0.1624,0.1574,0.1502,0.1422,0.1253,0.0,-98.55,3.586,-1.076,-1.362,-0.9587,3.075,4.428,1.03,2.624,1.764,-0.07708,0.02226,-0.6132,11.99,4.793,2.179,1.909,1.706,4.972,3.427,3.219,2.201,2.208,1.981,1.847,1.979,0.6562,55.36,4448.0,357400.0,77640000.0,0.2761,25.41,2033.0,146100.0,24740000.0,34.09,36.09,-3.32,1.293,0.295,0.1212,14.92,15.8,0.01076,0.01617,0.1006,0.1559,0.007406,0.003492,115.4,41.57,179.1,380.3,466.3,493.6,717.6,561.7,45.93,35.95,Hip-Hop,058212.mp3
5.539,28870000.0,322900000.0,-833400000000000.0,-9323000000000000.0,-1.043e+17,4.812e+22,8.394e+16,9.389e+17,6.735e+25,1.58,1209.0,12190.0,69780000000.0,742100000000.0,7872000000000.0,6.044e+18,6692000000000.0,70990000000000.0,7.626e+21,2249.0,260.8,1608.0,242.7,0.4714,0.05289,-0.9417,0.1661,0.01022,0.04151,-0.01285,0.01261,0.02159,0.03805,0.07501,0.0,0.1292,0.378,0.2313,0.1518,0.1309,0.1139,0.1077,0.09346,0.09529,0.0,-112.0,10.87,-0.8925,-1.878,-0.4086,3.642,3.835,3.889,0.7397,2.312,0.3565,-1.728,0.2958,24.81,7.306,1.515,1.37,1.485,5.422,2.693,2.311,2.45,2.001,1.974,2.321,1.897,0.5519,40.81,3262.0,284700.0,59300000.0,0.3183,28.99,2207.0,163400.0,30640000.0,29.22,44.83,-3.74,1.426,0.282,0.131,11.82,17.02,0.005411,0.007904,0.07595,0.1432,0.00723,0.003671,179.4,34.17,144.9,326.9,369.5,532.0,549.7,615.4,35.18,39.38,Hip-Hop,134824.mp3
0.6874,17960000.0,206000000.0,-322400000000000.0,-3698000000000000.0,-4.242e+16,1.158e+22,3.33e+16,3.82e+17,1.748e+25,0.3894,1214.0,18100.0,43590000000.0,574600000000.0,7456000000000.0,2.348e+18,5184000000000.0,67260000000000.0,4.607e+21,20.77,7.867,1564.0,206.5,0.5538,0.04825,-0.73,0.2347,0.01958,-0.02446,0.03815,0.1027,-0.01544,0.1104,0.08543,0.0,0.4584,0.4147,0.2951,0.2374,0.2126,0.1972,0.1549,0.1893,0.166,0.0,-159.4,5.448,0.1765,-1.306,-1.126,4.488,-0.04572,-1.86,-0.0214,-0.3351,-0.8125,-0.04162,-0.5226,30.16,7.45,2.376,2.653,2.57,6.563,4.508,3.373,2.984,2.568,2.131,2.223,2.273,0.06906,71.52,4304.0,255100.0,70390000.0,0.05943,40.96,1730.0,245200.0,20370000.0,70.01,82.81,-5.377,1.89,0.02991,0.02483,42.14,52.24,0.0001973,0.0003298,0.2537,0.309,0.0007365,0.0006559,186.8,46.05,882.4,1705.0,1317.0,1633.0,1399.0,1520.0,89.52,97.25,Hip-Hop,097989.mp3
8.173,32350000.0,363100000.0,-1047000000000000.0,-1.175e+16,-1.318e+17,6.772e+22,1.058e+17,1.187e+18,9.575e+25,1.619,1207.0,22090.0,78110000000.0,1153000000000.0,16040000000000.0,7.581e+18,10380000000000.0,144400000000000.0,1.747e+22,2035.0,153.9,1508.0,186.1,0.57,0.03495,-0.7708,-0.03985,-0.09035,-0.04011,-0.02485,0.08659,0.07265,0.06938,0.09864,0.0,0.3299,0.3374,0.2062,0.1927,0.1594,0.152,0.1354,0.1194,0.1305,0.0,-95.47,1.496,-0.8533,-1.718,-1.479,5.227,-0.6608,-1.556,-0.4466,-0.5938,0.1799,0.5816,-0.9667,14.84,6.419,1.963,2.13,2.012,4.636,2.746,3.729,2.351,2.179,1.868,1.896,1.85,0.8186,77.32,5263.0,277400.0,75750000.0,0.3531,31.56,1458.0,203900.0,18370000.0,68.73,83.38,-2.987,1.175,0.2782,0.1178,34.99,39.94,0.01214,0.01223,0.2375,0.2959,0.006594,0.003492,204.1,10.47,483.0,1249.0,1093.0,1248.0,1333.0,1162.0,85.3,74.37,Hip-Hop,149690.mp3
3.1,2205000.0,24730000.0,-4863000000000.0,-54540000000000.0,-611800000000000.0,2.145e+19,491000000000000.0,5508000000000000.0,3.026e+22,0.7821,1151.0,11250.0,5077000000.0,53250000000.0,556300000000.0,3.359e+16,479000000000.0,5005000000000.0,4.128e+19,985.7,41.04,1554.0,267.8,0.3932,0.02003,-0.9245,0.1189,0.2001,-0.155,0.05425,0.01275,0.05473,0.007471,0.06406,0.0,0.1815,0.4979,0.2794,0.2137,0.18,0.1748,0.1751,0.1083,0.1497,0.0,-128.9,6.537,0.2644,2.153,-2.138,1.497,1.002,-0.2993,-0.9806,0.2887,0.8686,0.8734,1.359,18.93,7.468,2.73,3.173,3.048,5.385,3.087,3.895,4.3,3.573,2.934,2.638,1.863,0.3101,40.26,3390.0,364800.0,78240000.0,0.1909,28.53,2179.0,213900.0,43010000.0,24.46,46.77,-3.775,1.334,0.1947,0.09395,14.89,24.89,0.004413,0.007822,0.09714,0.2016,0.005013,0.002743,220.1,6.81,295.8,902.7,465.3,777.9,570.9,762.6,36.54,48.81,Hip-Hop,011786.mp3
2.646,1909000.0,20890000.0,-3644000000000.0,-39880000000000.0,-436600000000000.0,1.391e+19,358900000000000.0,3929000000000000.0,1.825e+22,0.404,1207.0,17810.0,4607000000.0,59210000000.0,744400000000.0,2.638e+16,532900000000.0,6700000000000.0,4.666e+19,189.9,12.6,1614.0,168.3,0.6048,0.04693,-0.8594,0.06839,-0.2059,0.07607,-0.02086,-0.01662,-0.01926,0.02785,-0.01151,0.0,0.1374,0.2479,0.1807,0.1636,0.1208,0.1016,0.08822,0.0926,0.08137,0.0,-113.3,1.806,-1.303,-0.8227,-0.2277,3.108,0.3918,0.572,0.1129,0.8377,0.4513,-0.1527,-1.126,10.18,4.875,1.743,1.455,1.44,2.412,2.857,2.306,1.928,1.805,1.889,1.579,1.754,0.2645,67.31,4570.0,285100.0,61530000.0,0.0711,18.97,1157.0,104200.0,17660000.0,85.06,72.5,-4.75,1.359,0.0835,0.02956,25.31,18.37,0.0007026,0.001041,0.1964,0.1849,0.001974,0.0009118,218.1,13.88,219.7,255.1,791.0,573.9,1173.0,632.8,75.08,40.5,Hip-Hop,010695.mp3
4.92,31730000.0,356000000.0,-1007000000000000.0,-1.13e+16,-1.268e+17,6.387e+22,1.017e+17,1.141e+18,9.025e+25,0.8926,1185.0,8670.0,75200000000.0,697000000000.0,6173000000000.0,7.157e+18,6272000000000.0,55550000000000.0,6.594e+21,1701.0,167.1,1594.0,187.8,0.5508,0.02981,-0.9729,0.556,-0.2724,-0.02633,0.195,0.1062,0.07133,0.06697,0.05313,0.0,0.02317,0.2415,0.344,0.2099,0.1603,0.1371,0.1116,0.1158,0.1041,0.0,-101.5,7.986,0.05732,-0.3807,-0.8646,4.002,2.727,-2.521,2.261,-0.4855,1.821,0.6377,0.3339,16.89,4.719,1.838,1.666,1.897,4.541,2.987,3.545,2.304,2.161,2.01,1.907,1.833,0.4903,32.56,1933.0,190500.0,34400000.0,0.1914,10.94,1111.0,128000.0,25770000.0,29.22,25.73,-3.546,1.268,0.2504,0.08297,10.69,6.163,0.006456,0.007199,0.05889,0.05882,0.006446,0.002316,202.5,22.1,225.6,171.6,334.0,192.6,443.6,237.1,28.39,15.17,Hip-Hop,146726.mp3
6.963,24790000.0,280700000.0,-614500000000000.0,-6959000000000000.0,-7.882e+16,3.047e+22,6.266e+16,7.097e+17,4.425e+25,1.363,1207.0,12500.0,59820000000.0,648300000000.0,7021000000000.0,4.449e+18,5841000000000.0,63260000000000.0,5.913e+21,2164.0,407.5,1541.0,247.4,0.5175,0.044,-0.9251,0.5164,-0.3557,-0.00447,-0.06334,0.04383,-0.04531,-0.05684,-0.04348,0.0,0.09826,0.2373,0.2267,0.1634,0.1419,0.09355,0.1324,0.1146,0.09041,0.0,-93.5,1.049,0.4701,0.7409,-0.409,-2.047,1.664,-0.5472,1.291,-0.7619,0.6296,-0.1339,0.07496,16.19,4.659,1.859,1.634,1.993,3.967,2.629,2.112,1.98,2.285,1.584,1.908,2.305,0.6951,43.81,2394.0,181700.0,33000000.0,0.3255,18.13,1108.0,71600.0,15400000.0,56.94,57.51,-3.31,1.328,0.2946,0.1291,17.36,16.4,0.008802,0.01382,0.1294,0.1372,0.007412,0.003727,211.7,17.2,213.6,402.7,542.4,512.6,721.7,542.5,46.19,34.72,Hip-Hop,123645.mp3
8.936,26920000.0,302300000.0,-724700000000000.0,-8139000000000000.0,-9.141e+16,3.902e+22,7.328e+16,8.231e+17,5.528e+25,1.673,1206.0,20870.0,64920000000.0,926400000000.0,12620000000000.0,5.243e+18,8344000000000.0,113700000000000.0,1.145e+22,1958.0,397.6,1597.0,156.4,0.5386,0.03401,-0.8083,0.04976,-0.1469,-0.1089,-0.03934,-0.009191,-0.01105,-0.002649,0.01945,0.0,0.1879,0.2383,0.187,0.1349,0.1495,0.1234,0.1189,0.1202,0.1135,0.0,-85.93,-0.9271,-1.511,-1.335,-0.4077,3.898,2.033,0.4801,1.014,0.4534,0.203,-0.2858,-1.159,10.57,2.898,1.906,1.943,1.717,2.855,2.418,2.453,1.982,2.312,1.829,1.981,1.914,0.8906,77.16,5118.0,288000.0,69490000.0,0.2663,18.48,997.0,121900.0,13310000.0,95.37,74.24,-3.41,1.176,0.2678,0.08745,33.03,23.88,0.007446,0.006574,0.2551,0.2122,0.006229,0.002493,207.8,20.41,302.8,508.1,1032.0,746.1,1359.0,714.4,86.99,45.72,Hip-Hop,128927.mp3
4.98,4344000.0,50010000.0,-18870000000000.0,-217200000000000.0,-2501000000000000.0,1.639e+20,1956000000000000.0,2.251e+16,2.501e+23,1.598,1203.0,23390.0,10450000000.0,161700000000.0,2339000000000.0,1.362e+17,1458000000000.0,21080000000000.0,3.51e+20,872.3,218.0,1505.0,276.7,0.6003,0.05342,-0.6626,0.05049,-0.2538,0.05275,-0.01191,0.04206,-0.04137,0.01935,0.0211,0.0,0.3691,0.3649,0.2544,0.2068,0.1623,0.1391,0.1237,0.1073,0.1145,0.0,-113.3,-0.07116,-0.2971,-0.8341,-0.8951,3.808,1.929,1.867,-0.8664,-0.2426,-0.0668,2.008,0.8117,38.29,6.559,1.597,1.587,1.498,4.029,3.47,2.659,2.223,2.174,1.948,1.674,1.828,0.4966,80.78,4743.0,186700.0,60170000.0,0.3798,34.76,1734.0,195200.0,23850000.0,104.2,103.8,-3.711,1.392,0.1769,0.1295,46.29,44.79,0.004778,0.008085,0.3043,0.2972,0.004127,0.003528,76.97,24.82,859.9,1529.0,1446.0,1400.0,1596.0,1301.0,102.1,83.24,Hip-Hop,026010.mp3
