@RELATION ./mp3train.arff

@ATTRIBUTE "MFCC Overall Average_0" REAL
@ATTRIBUTE "MFCC Overall Average_1" REAL
@ATTRIBUTE "MFCC Overall Average_10" REAL
@ATTRIBUTE "MFCC Overall Average_11" REAL
@ATTRIBUTE "MFCC Overall Average_12" REAL
@ATTRIBUTE "MFCC Overall Average_2" REAL
@ATTRIBUTE "MFCC Overall Average_3" REAL
@ATTRIBUTE "MFCC Overall Average_4" REAL
@ATTRIBUTE "MFCC Overall Average_5" REAL
@ATTRIBUTE "MFCC Overall Average_6" REAL
@ATTRIBUTE "MFCC Overall Average_7" REAL
@ATTRIBUTE "MFCC Overall Average_8" REAL
@ATTRIBUTE "MFCC Overall Average_9" REAL
@ATTRIBUTE "Partial Based Spectral Centroid Overall Average" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_0" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_1" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_10" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_11" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_12" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_2" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_3" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_4" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_5" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_6" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_7" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_8" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_9" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_0" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_1" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_10" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_11" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_12" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_2" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_3" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_4" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_5" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_6" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_7" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_8" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_9" REAL
@ATTRIBUTE "Strongest Frequency Via FFT Maximum Overall Average" REAL
@ATTRIBUTE genre STRING
@ATTRIBUTE title STRING

@DATA
-98.55,3.586,-1.076,-1.362,-0.9587,3.075,4.428,1.03,2.624,1.764,-0.07708,0.02226,-0.6132,0.9142,-98.79,3.594,-1.105,-1.418,-0.9582,3.03,4.52,1.085,2.659,1.736,-0.1024,0.01422,-0.5763,987.8,35.59,10.83,14.05,9.418,29.83,45.07,?,26.5,17.21,?,?,?,179.1,'[\'Hip-Hop\']',058212.mp3
-112.0,10.87,-0.8925,-1.878,-0.4086,3.642,3.835,3.889,0.7397,2.312,0.3565,-1.728,0.2958,?,-109.6,10.76,-0.9181,-1.893,-0.3606,3.121,3.677,3.958,0.7758,2.325,0.309,-1.854,0.3746,1096.0,107.3,?,18.88,?,?,36.68,39.52,?,23.16,?,?,?,144.9,'[\'Hip-Hop\']',134824.mp3
-159.4,5.448,0.1765,-1.306,-1.126,4.488,-0.04572,-1.86,-0.0214,-0.3351,-0.8125,-0.04162,-0.5226,3.25,-160.9,5.399,0.2027,-1.386,-0.9927,4.637,0.03153,-1.806,-0.123,-0.233,-0.8794,-0.094,-0.5625,1609.0,?,?,?,?,45.84,?,?,?,?,?,?,?,882.4,'[\'Hip-Hop\']',097989.mp3
-95.47,1.496,-0.8533,-1.718,-1.479,5.227,-0.6608,-1.556,-0.4466,-0.5938,0.1799,0.5816,-0.9667,?,-95.66,1.533,-0.8382,-1.718,-1.503,5.424,-0.6554,-1.565,-0.4694,-0.6226,0.1858,0.6331,-0.946,956.5,?,?,17.05,14.89,54.05,?,?,?,?,?,?,?,483.0,'[\'Hip-Hop\']',149690.mp3
-128.9,6.537,0.2644,2.153,-2.138,1.497,1.002,-0.2993,-0.9806,0.2887,0.8686,0.8734,1.359,0.747,-129.0,6.335,0.135,2.149,-1.981,1.702,0.9652,-0.109,-0.7059,0.3166,0.6427,0.724,1.278,1289.0,?,?,21.28,?,?,?,?,?,?,?,?,12.63,295.8,'[\'Hip-Hop\']',011786.mp3
-113.3,1.806,-1.303,-0.8227,-0.2277,3.108,0.3918,0.572,0.1129,0.8377,0.4513,-0.1527,-1.126,3.029,-112.9,2.184,-1.219,-0.8578,-0.3101,3.055,0.1483,0.5672,0.06546,0.7931,0.487,-0.1719,-1.048,1129.0,?,?,?,?,30.46,?,?,?,?,?,?,?,219.7,'[\'Hip-Hop\']',010695.mp3
-101.5,7.986,0.05732,-0.3807,-0.8646,4.002,2.727,-2.521,2.261,-0.4855,1.821,0.6377,0.3339,?,-100.8,7.938,0.04704,-0.3835,-0.9115,3.893,2.758,-2.449,2.221,-0.4219,1.727,0.6471,0.3396,1008.0,79.24,?,?,?,38.61,27.41,24.24,22.08,?,17.15,?,?,225.6,'[\'Hip-Hop\']',146726.mp3
-93.5,1.049,0.4701,0.7409,-0.409,-2.047,1.664,-0.5472,1.291,-0.7619,0.6296,-0.1339,0.07496,1.783,-93.58,1.101,0.3692,0.7265,-0.3664,-1.892,1.672,-0.5361,1.365,-0.6487,0.6691,-0.1624,-0.02888,935.7,?,?,?,?,?,?,?,13.48,?,?,?,?,213.6,'[\'Hip-Hop\']',123645.mp3
-85.93,-0.9271,-1.511,-1.335,-0.4077,3.898,2.033,0.4801,1.014,0.4534,0.203,-0.2858,-1.159,3.077,-85.49,-0.9808,-1.551,-1.287,-0.4663,3.892,2.033,0.4678,0.9421,0.4207,0.1896,-0.3161,-1.219,854.9,?,15.39,12.69,?,38.81,20.18,?,?,?,?,?,?,302.8,'[\'Hip-Hop\']',128927.mp3
-113.3,-0.07116,-0.2971,-0.8341,-0.8951,3.808,1.929,1.867,-0.8664,-0.2426,-0.0668,2.008,0.8117,?,-112.3,-0.0463,-0.3272,-0.7385,-0.8839,3.825,1.961,1.905,-0.7746,-0.1654,-0.04652,2.024,0.7989,1123.0,?,?,?,?,38.04,?,?,?,?,?,20.17,?,859.9,'[\'Hip-Hop\']',026010.mp3
